
ID,Artista,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10
36,Faithless,electronic,trip-hop,electronica,dance,seen live,house,90s,female vocalists,trance,progressive house
37,Madonna,pop,dance,female vocalists,80s,electronic,90s,madonna,sexy,legend,queen of pop
38,Icehouse,80s,new wave,new romantic,rock,australian,retro,new wave artists,new wave songs,ogonj,pop
39,Sade,soul,jazz,chillout,female vocalists,80s,pop,rnb,sexy,smooth,alternative
40,Moby,electronic,ambient,chillout,electronica,alternative,dance,rock,indie,instrumental,trip-hop
41,Dido,female vocalists,pop,alternative,singer-songwriter,british,chillout,90s,indie,acoustic,female vocalist
42,Depeche Mode,electronic,new wave,80s,synthpop,synth pop,alternative,british,depeche mode,rock,90s
43,Café Del Mar,chillout,ambient,downtempo,lounge,cafe del mar,electronic,acid jazz,funk,trip-hop,relaxing
44,Camouflage,new wave,electronic,80s,synthpop,synth pop,german,synth,seen live,house,hang on
45,Electronic,electronic,soundtrack,1992,my pleasuredome,the beowulfs choice,single,scholes song,po-kraftwerkski,piano,pet shop boys
46,George Michael,pop,80s,90s,dance,soul,sexy,british,gay,seen live,christmas
47,Fiction Factory,80s,new wave,scottish,1984 songs,fav artists,fav songs,new romantic,new wave artists,new wave songs,pop
48,Groove Armada,electronic,chillout,house,dance,electronica,trip-hop,2010,ambient,downtempo,british
49,Portishead,trip-hop,electronic,chillout,female vocalists,alternative,downtempo,electronica,trip hop,british,ambient
50,Marc Almond,new romantic,british,80s,synth pop,alternative,new wave,cover,new wave and eighties,my favorites,my pleasuredome
51,Cut Copy,electronic,indie,dance,electro,electronica,australian,synthpop,electropop,00s,my electro feelings
52,Spandau Ballet,80s,new wave,new romantic,british,pop,1980s,heavy funk,hit,new romantic songs,new wave songs
53,Katie Melua,female vocalists,jazz,blues,acoustic,singer-songwriter,chillout,pop,mellow,house,love at first listen
54,Deacon Blue,80s,classic,colors,death,faves,girls names,pop,questions,religion,slowies
55,Gorillaz,alternative,electronic,rock,hip-hop,indie,chillout,pop,dance,cool,experimental
56,Lady Gaga,pop,dance,electronic,female vocalists,lady gaga,female vocalist,sexy,electropop,amazing,diva
57,Kosheen,trip-hop,electronic,dance,drum and bass,alternative,british,chillout,downtempo,electro,favorite
58,Nik Kershaw,new wave,80s,british,synthpop,synth pop,singer-songwriter,1984 songs,my fav fun,the beowulfs choice,rock
59,Jean-Michel Jarre,ambient,electronic,instrumental,new age,1984 songs,frauen und technik,seen live,pop,new wave,jean-michele jarre
60,Simply Red,80s,soul,british,90s,pop,male vocalists,rock,alternative,seen live,new wave
61,Fleetwood Mac,classic rock,70s,rock,80s,blues,blues rock,1969,female vocalists,soft rock,pop
62,Duffy,soul,female vocalists,british,pop,love at first listen,singer-songwriter,<3,love,jazz,songs i never get sick of
63,Japan,new romantic,new wave,80s,synthpop,synth pop,post-punk,1980 songs,orgasmic,instrumentals,life on mars
64,INXS,rock,80s,new wave,australian,alternative,pop,90s,alternative rock,favourites,epic
65,ABC,80s,new wave,british,synthpop,new romantic,pop,trevor horn,synth pop,sheffield,resignation
66,Pleq,ambient,greece,u-cover,october man recordings,modern classical,mille plateaux,melancholy,melancholic,idm,hiphop
67,Max Richter,ambient,berep shows the love,chill zone,classical,drone,experimental,for work,instrumental,instrumental music that makes you feel-group tag radio,iron jesus
68,Burial,ambient,electronic,dubstep,electronica,experimental,aana,atmospheric,chillout,descoperiri,hyperdub
69,The Notwist,indietronica,electronic,post-rock,electronica,male vocalists,mellow,morr music,my favourite albums,new wave,noise
70,Deaf Center,ambient,idm,aana,atmospheric,descoperiri,minimal,minimalism,neo-classical underground,piano,type records
71,Deep Forest,ambient,new age,chillout,world,electronic,fascinating,relax,political,native,geography
72,Porcupine Tree,progressive rock,psychedelic,rock,progressive metal,progressive,alternative,british,psychedelic rock,steven wilson,beautiful
73,De/Vision,synthpop,electronic,synth pop,ebm,alternative,electronica,futurepop,german,80s,dance
74,Radiohead,alternative,rock,alternative rock,indie,electronic,british,experimental,britpop,indie rock,90s
75,Robbie Williams,pop,britpop,rock,british,90s,alternative,male vocalists,singer-songwriter,00s,covers
76,Michael Jackson,pop,80s,dance,soul,funk,legend,king of pop,90s,michael jackson,rock
77,The Cure,new wave,80s,post-punk,alternative,rock,indie,alternative rock,british,goth,gothic
78,Enrique Iglesias,latin,dance,pop,love,male vocalists,sexy,duet,latin pop,ballad,sad
79,God Is an Astronaut,post-rock,instrumental,ambient,experimental,post rock,atmospheric,epic,beautiful,shoegaze,seen live
80,Pink Floyd,progressive rock,classic rock,psychedelic rock,rock,psychedelic,70s,80s,british,60s,instrumental
81,The Cranberries,alternative,female vocalists,90s,rock,alternative rock,irish,female vocalist,sweet,sad,pop
82,Scissor Sisters,dance,pop,electronic,alternative,glam,indie,gay,glam rock,seen live,love it
83,Mew,indie rock,indie,alternative,danish,dream pop,seen live,rock,alternative rock,pokemon,special
84,Stereophonics,rock,alternative,indie,britpop,indie rock,british,alternative rock,acoustic,mellow,songs that tell a story
85,Garbage,rock,alternative,alternative rock,female vocalists,indie,90s,james bond,soundtrack,grunge,singer-songwriter
86,Placebo,alternative,alternative rock,indie,rock,britpop,indie rock,british,seen live,90s,cover
87,Infected Mushroom,electronic,psytrance,trance,psychedelic,goa,psychedelic trance,electronica,electro,full-on,mellow
88,Delerium,ambient,trance,electronic,chillout,electronica,alternative,neo-classical underground,vocal,trip-hop,top 20
89,Scorpions,hard rock,heavy metal,rock,80s,classic rock,70s,seen live,90s,scorpions,metal
90,Roxette,80s,pop,rock,90s,female vocalists,roxette,mellow,swedish,sverige,sad
91,Paradise Lost,gothic metal,doom metal,metal,death metal,beatiful,cover,good stuff,gothic,other great tracks,powerful
92,Keane,alternative,indie,britpop,british,rock,piano rock,pop,uk,mellow,beautiful
93,Jamiroquai,funk,electronic,acid jazz,dance,pop,90s,british,1995,i love this song,these songs are just amazing
94,James Blunt,pop,singer-songwriter,acoustic,male vocalists,british,britpop,indie,love,alternative,rock
95,Blackfield,progressive rock,alternative rock,alternative,progressive,rock,art rock,british,singer-songwriter,steven wilson,to write love on my arms
96,a-ha,new wave,80s,pop,synth pop,synthpop,electronic,norwegian,rock,dance,a-ha
97,Opeth,progressive metal,progressive death metal,metal,death metal,progressive rock,extreme progressive metal,heavy metal,progressive,melancholic,melodic death metal
98,Poets of the Fall,alternative rock,alternative,rock,finnish,indie,melancholic,acoustic,poets of the fall,touching song,title is a full sentence
99,Muse,alternative rock,rock,alternative,progressive rock,indie,british,seen live,indie rock,britpop,awesome
100,OneRepublic,alternative,rock,alternative rock,indie,pop rock,pop,piano rock,beautiful,indie rock,male vocalists
101,Elton John,pop,classic rock,rock,singer-songwriter,british,70s,80s,90s,piano,christmas
102,Tears for Fears,80s,new wave,british,pop,synthpop,rock,uk,alternative,synth pop,90s
103,Bright Eyes,indie,folk,acoustic,singer-songwriter,indie rock,rock,love,mellow,alternative,indie folk
104,Beirut,folk,indie,singer-songwriter,mellow,gypsy,indie folk,seen live,acoustic,indie rock,experimental
105,Tom Waits,blues,rock,experimental,singer-songwriter,folk,alternative,jazz,instrumental,70s,80s
106,System of a Down,metal,alternative metal,rock,nu metal,alternative,alternative rock,system of a down,hard rock,nu-metal,american
107,Arcade Fire,indie rock,indie,alternative,rock,alternative rock,canadian,indie pop,folk,post-rock,love at first listen
108,Gogol Bordello,gypsy punk,punk,polecane,sxsw2006,summer,skins soundtrack,singer-songwriter,punk rock,alcohol,alternative
109,CAKE,alternative,alternative rock,indie,rock,90s,cover,indie rock,cake,1998,quirky
110,Blur,britpop,rock,alternative,british,indie,alternative rock,indie rock,90s,pop,uk
111,Damien Rice,acoustic,singer-songwriter,indie,folk,male vocalists,piano,beautiful,sad,mellow,ballad
112,Andrew Bird,folk,singer-songwriter,indie,seen live,mellow,acoustic,lyrics,violin,songs ive obsessed over,pop
113,Beck,alternative,indie,rock,singer-songwriter,electronic,alternative rock,experimental,folk,cover,seen live
114,Arctic Monkeys,indie rock,indie,british,rock,alternative,britpop,alternative rock,uk,seen live,arctic monkeys
115,Babyshambles,indie rock,indie,british,alternative,britpop,rock,alternative rock,love at first listen,singer-songwriter,seen live
116,My Chemical Romance,rock,alternative,punk rock,emo,punk,alternative rock,screamo,my chemical romance,pop punk,seen live
117,Bloc Party,indie,indie rock,rock,alternative,british,britpop,seen live,00s,mellow,not-emo
118,The Decemberists,folk,indie,alternative,indie rock,indie pop,indie folk,singer-songwriter,acoustic,hoy tengo ganas de llorar,idolo
119,Bob Dylan,folk,singer-songwriter,classic rock,60s,blues,folk rock,rock,acoustic,70s,male vocalists
120,DeVotchKa,alternative,experimental,folk,indie,rock,00s,american,cabaret,little miss sunshine soundtrack,pirate songs for piratey pirates
121,Jeff Buckley,singer-songwriter,rock,alternative,acoustic,alternative rock,indie,folk,classic rock,cover,soundtrack
122,Sparklehorse,indie,indie rock,folk,90s,alternative,cat power,experimental,lo-fi,mellow,rock
123,Death Cab for Cutie,indie,indie rock,alternative,rock,alternative rock,acoustic,indie pop,death cab for cutie,singer-songwriter,emo
124,M. Ward,folk,indie,singer-songwriter,acoustic,alt-country,alternative,beautiful,folk - folkrock - altcountry,indie folk,indie rock
125,Red Hot Chili Peppers,rock,alternative rock,alternative,funk,90s,funk rock,classic rock,american,punk,hard rock
126,Travis,britpop,alternative,indie,rock,british,alternative rock,indie rock,male vocalists,scottish,beautiful
127,Modest Mouse,indie rock,indie,alternative,rock,alternative rock,indie pop,seen live,sad,awesome,songs for gil
128,Band of Horses,indie,rock,alternative,folk,indie rock,dream pop,indie folk,the vampire diaries,smooth night driving,sleeping
129,Interpol,indie,alternative,indie rock,rock,post-punk,alternative rock,seen live,interpol,post-punk revival,new wave
130,Queens of the Stone Age,rock,alternative rock,alternative,hard rock,stoner rock,seen live,grunge,groovy,progressive rock,experimental
131,The Beatles,classic rock,rock,british,60s,pop,psychedelic,the beatles,britpop,psychedelic rock,rock and roll
132,Kings of Leon,indie rock,rock,indie,alternative,southern rock,alternative rock,seen live,mellow,male vocalists,garage rock
133,The Killers,indie,indie rock,rock,alternative,alternative rock,seen live,electronic,britpop,pop,new wave
134,Green Day,punk rock,rock,punk,alternative,pop punk,alternative rock,90s,00s,american,green day
135,Devendra Banhart,indie,folk,singer-songwriter,indie folk,new weird america,acoustic,freak folk,seen live,alternative,espa�ol
136,Nine Inch Nails,industrial,rock,alternative,electronic,industrial rock,instrumental,90s,alternative rock,seen live,awesome
137,Nirvana,grunge,rock,alternative,alternative rock,90s,punk,nirvana,indie,hard rock,acoustic
138,Eels,alternative,indie,singer-songwriter,rock,indie rock,1997,not-emo,songwriters,songs to download later,songs that make me happy in the pants :d
139,Clap Your Hands Say Yeah,indie,indie rock,alternative,indie pop,sxsw2006,sunshine,smooth night driving,pop,indie-ish,indie luv
140,Thom Yorke,electronic,experimental,alternative,indie,singer-songwriter,piano,indietronica,electronica,sad,british
141,Massive Attack,trip-hop,electronic,chillout,downtempo,electronica,alternative,british,experimental,ambient,seen live
142,Keyshia Cole,rnb,favorites,female vocalists,hip-hop,keyshia cole,4m4zinq,love,sexy,rap,pop
143,Toni Braxton,rnb,female vocalists,soul,pop,90s,beyonce,dance,mellow,sexy,2008
144,Bob Marley & The Wailers,reggae,70s,ska,roots reggae,jamaican,roots,rocksteady,rick ghraphixxx,relax,prophets
145,Adriana Calcanhotto,mpb,brazilian,brasil,female vocalists,singer-songwriter,beautiful,brazil,adoro,lovely,relaxing
146,Pharoahe Monch,assertive,phat,underground hip-hop,tight,the truth,the good stuff,solid,smooth,sick,real talk
147,Common,rap,hip hop,hip-hop,00s,male vocalists,the truth,smooth,seen live,rhythmalizm,rhymez
148,Bob Marley,reggae,jamaica,70s,ska,roots reggae,relax,jamaican,60s,peter tosh,singer-songwriter
149,Whitney Houston,female vocalists,soul,rnb,pop,ballad,80s,90s,female vocalist,cover,dance
150,Tamia,rnb,00s,american,ballad,best,brandy,contemporary rnb,cool,female vocalists,jet set radio future
151,Bryan Adams,rock,80s,classic rock,pop,90s,canadian,love,romantic,seen live,country
152,Kid Abelha,brazilian,mpb,pop,female vocalists,rock,brasil,80s,brazil,brings out the kid in me,female vocalist
153,Mariah Carey,rnb,pop,female vocalists,soul,90s,mariah carey,love,sexy,diva,legend
154,Tina Turner,pop,soul,female vocalists,classic rock,female,80s,70s,pet shop boys,specials to 3mmey,soundtrack
155,Marisa Monte,mpb,brazilian,female vocalists,brasil,brazil,female vocalist,nostalgic,romantic,relax,pop
156,Mary J. Blige,female vocalists,soul,urban,rap,ballad,sexy,rnb,monica,mya,pop covers
157,Céline Dion,female vocalists,pop,90s,ballad,female vocalist,celine dion,canadian,easy listening,french,love
158,Erykah Badu,soul,singer-songwriter,sexy,rnb,american,2008,harmonies,top 40,rick villa,rick ghraphixxx
159,Nas,hip-hop,rap,classic,nas,hip hop,east coast rap,new york shit,real hip-hop,poignant,phat
160,Richard Marx,80s,90s,soft rock,beautiful,rock,pop,1992,memories,nostalgia,miserable
161,Maria Bethânia,brasil,mpb,bossa nova,brazilian,better than lady gaga,brazil,female vocalists,made in brazil,novelas,pantanal
162,Mos Def,hip-hop,rap,cool,classic,hip hop,streetrhymes,street vanacular,hiphop,hiphop classic,jazzy
163,Faith Evans,rnb,american,ballad,beyonce,brandy,chill,female vocalists,jams,janet jackson,kelly rowland
164,Gang Starr,hip-hop,rap,hip hop,old school,the truth,the good stuff,superb,sick,rhymez,real talk
165,2Pac,rap,hip-hop,gangsta rap,90s,classic,smooth,cool,hip hop,west coast rap,lol
166,Brandy,rnb,hip-hop,female vocalists,90s,ballad,pop,soul,sexy,urban,top 40
167,Ana Carolina,mpb,brazilian,female vocalists,brasil,brazil,love,alternative,legend,romantica,rainha do pop
168,Janet Jackson,pop,rnb,female vocalists,dance,soul,90s,80s,sexy,female,female vocalist
169,Peter Tosh,reggae,80s,beach music,berep shows the love,jamaica,jamaican,marijuana,rasta,roots reggae,ska
170,Monica,rnb,urban,90s,soul,female vocalists,sexy,monica,female vocalist,top 40,tweet
171,Rihanna,pop,rnb,dance,female vocalists,hip-hop,rihanna,sexy,love,female vocalist,electronic
172,Britney Spears,pop,dance,female vocalists,legend,britney spears,sexy,electronic,90s,amazing,american
173,Jordin Sparks,pop,rnb,american idol,female vocalists,jordin sparks,amazing,ballad,pop covers,loved,mellow
174,Kelly Clarkson,pop,female vocalists,pop rock,rock,american idol,female vocalist,kelly clarkson,favorites,american,amazing
175,Christina Aguilera,pop,female vocalists,dance,rnb,soul,sexy,christina aguilera,legend,electronic,beautiful
176,Ashlee Simpson,pop,pop rock,female vocalists,rock,dance,female vocalist,ashlee simpson,teen pop,female,guilty pleasure
177,Leona Lewis,female vocalists,rnb,pop,soul,love,ballad,british,beautiful,female vocalist,the vampire diaries
178,Beyoncé,rnb,pop,soul,female vocalists,sexy,hip-hop,beyonce,dance,female vocalist,hip hop
179,Sugababes,pop,dance,rnb,female vocalists,british,sexy,female,love,soul,favorites
180,David Cook,alternative,male vocalists,rock,american idol,alternative rock,2008 american idol winner,4m4zinq,amazing,american idol 7,excelent
181,Lily Allen,pop,female vocalists,british,britpop,singer-songwriter,uk,indie,electropop,cute,00s
182,Jennifer Lopez,pop,latin,dance,rnb,female vocalists,female,female vocalist,sexy,90s,latin pop
183,Katy Perry,pop,female vocalists,pop rock,rock,dance,indie,love,<3,electronic,katy perry
184,Alicia Keys,soul,rnb,female vocalists,pop,singer-songwriter,piano,american,beautiful,jazz,ballad
185,P!nk,pop,female vocalists,pop rock,rock,dance,00s,female vocalist,female,rnb,sexy
186,David Archuleta,american idol,pop,male vocalists,love,rnb,cute,david archuleta,00s,tbu,summer time
187,Katharine McPhee,pop,rnb,female vocalists,american,dance,american idol,myfavorites-singers,tbu,summer song,songs that remind me of summer 07-08
188,Black Eyed Peas,hip-hop,pop,rap,rnb,dance,hip hop,electronic,black eyed peas,female vocalists,00s
189,Kate Voegele,pop rock,pop,singer-songwriter,female vocalists,one tree hill,rock,female vocalist,acoustic,kickass,underrated
190,Kat DeLuna,rnb,hip-hop,pop,dance,female,kat deluna,sexy,beat from dominicana,depre music,female vocalists
191,Danity Kane,rnb,pop,dance,sexy,american,bitches,f4nt4stic,fave songs ever,female,female vocalists
192,Nelly Furtado,pop,female vocalists,dance,rnb,canadian,folk,singer-songwriter,beautiful,female vocalist,sexy
193,Natasha Bedingfield,pop,female vocalists,british,female vocalist,singer-songwriter,dance,rnb,seen live,britpop,soul
194,Cassie,rnb,pop,dance,female vocalists,00s,hip-hop,urban,sexy,redone,mellow
195,Allison Iraheta,female vocalists,pop,american idol,pop rock,rock,american idol 8,give in to me,indie,indie pop,nice
196,Ciara,rnb,pop,dance,hip-hop,female vocalists,sexy,hip hop,ciara,soundtrack,electronic
197,Alanis Morissette,female vocalists,rock,alternative,pop,singer-songwriter,alternative rock,90s,pop rock,canadian,indie
198,Keri Hilson,rnb,pop,female vocalists,sexy,love,hip hop,00s,singer-songwriter,keri hilson,nelly furtado
199,Hilary Duff,pop,dance,female vocalists,hilary duff,disney,pop rock,rock,amazing,teen pop,american
200,Fergie,pop,rnb,dance,female vocalists,hip-hop,hip hop,female,female vocalist,american,house
201,Jonas Brothers,pop rock,pop,disney,rock,sweet,love,guilty pleasure,love song,<3,happy
202,Ashanti,rnb,female vocalists,hip-hop,pop,soul,sexy,female vocalist,amazing,urban,show woman
203,The Saturdays,pop,british,dance,female vocalists,girl band,sexy,rnb,pop rock,girl groups,baranyiz loves it
204,Cobra Starship,pop punk,rock,alternative rock,alternative,dance,pop,indie rock,summer song,love at first listen,electronic
205,Ashley Tisdale,pop,female vocalists,disney,dance,ashley tisdale,pop rock,teen pop,guilty pleasure,<3,awesome
206,JoJo,pop,jojo,female vocalists,rnb,soul,american,favorites,female,teen pop,female vocalist
207,Chris Brown,rnb,hip hop,hip-hop,rap,love,chris brown,dance,pop,love at first listen,<3
208,David Guetta,dance,house,electronic,00s,techno,sexy,trance,club,pop,party
209,Justin Timberlake,pop,rnb,dance,sexy,hip-hop,justin timberlake,male vocalists,hip hop,american,male vocalist
210,T.I.,hip-hop,rap,hip hop,dirty south,amazing,american,christina aguilera,dance,jams,male vocalists
211,Kanye West,hip-hop,rap,hip hop,rnb,dance,male vocalists,kanye west,gay fish,american,00s
212,Kelly Rowland,rnb,dance,pop,female vocalists,sexy,soul,kelly rowland,urban,r'n'b,remix
213,Avril Lavigne,pop,female vocalists,pop rock,rock,canadian,punk,pop punk,punk rock,female vocalist,alternative
214,Cher,pop,dance,female vocalists,80s,90s,disco,rock,cher,legend,female vocalist
215,Colbie Caillat,female vocalists,acoustic,pop,singer-songwriter,indie,indie pop,pop rock,love,female vocalist,folk
216,Taylor Swift,country,female vocalists,pop,singer-songwriter,acoustic,taylor swift,love,country pop,amazing,<3
217,Lena,pop,german,eurovision 2010,female vocalists,foreign,indie,indie pop,satellite,summer,sweet
218,Wir sind Helden,german,rock,deutsch,dookaralho,es pop mama,melhor que cine,my 500 essential songs,my electro feelings,nostalgia,pop
219,The Pussycat Dolls,pop,rnb,dance,female vocalists,sexy,hip-hop,the pussycat dolls,favorites,american,female
220,Monrose,pop,female vocalists,rnb,german,popstars,dance,00s,great,soul,sexy
221,Cheryl Cole,pop,female vocalists,rnb,british,dance,perfect,00s,united kingdom,stuck on repeat,soul
222,Sarah Connor,pop,female vocalists,german,2010,ballad,dance,electropop,germany,hit,hot
223,Jason Mraz,acoustic,pop,singer-songwriter,alternative,rock,indie,love,mellow,folk,male vocalists
224,Brad Paisley,country,singer-songwriter,modern country,90s,love songs,summer,sick sick sick,sad,rock,rain
225,Maria Mena,female vocalists,pop,singer-songwriter,rock,pop rock,norwegian,mpb,mena,2006,2007
226,Shania Twain,country,female vocalists,pop,90s,love songs,dance,<3,90's,shania twain,canadian
227,A Fine Frenzy,female vocalists,singer-songwriter,indie,piano,pop,acoustic,90210,the vampire diaries,tbu,sweet
228,Sugarland,country,female vocalists,00s,duo,pop rock,new country,my favorite,loved,great song,female vocalist
229,Jack Johnson,acoustic,singer-songwriter,mellow,alternative,indie,rock,folk,pop,chillout,relaxing
230,Katatonia,doom metal,progressive metal,metal,depressive rock,gothic metal,arkadi,seen live,sad,rock,powerful
231,Skillet,alternative,christian rock,alternative rock,rock,christian,alternative metal,jesus,awesome,<3,preferidas
232,宇多田ヒカル,j-pop,japanese,female vocalists,pop,jpop,utada hikaru,japanese pop,00s,legendary,japanesey
233,浜崎あゆみ,j-pop,japanese,female vocalists,jpop,summer,japanese pop,ayumi hamasaki,happy,asian,pop
234,Linkin Park,rock,nu metal,alternative rock,alternative,metal,male vocalists,00s,hip-hop,american,awesome
235,Evanescence,rock,female vocalists,gothic,gothic rock,alternative,alternative rock,metal,gothic metal,beautiful,american
236,中島美嘉,j-pop,japanese,female vocalists,jpop,2009,asian,favorites,j-pop japanese pop jpop female vocalists jazz japanese music j-rock,jazz,pop
237,Blackmore's Night,folk,rock,celtic,female vocalists,covers that are actually good,ezbeni,female vocalists i actually like,insane classical motives,medieval,pagan
238,Bad Religion,punk,punk rock,rock,alternative,hardcore,90s,political,seen live,american,classic
239,Cascada,dance,female vocalists,pop,trance,techno,electronic,00s,german,catchy,cascada
240,Enya,new age,female vocalists,ambient,celtic,chillout,female,irish,mellow,pop,ethereal
241,Super Junior,k-pop,korean,kpop,pop,00s,<3,amazing,asian,dance,favorites
242,嵐,j-pop,arashi,danceable,dance,favorite,groovy,japanese,je,johnny's,johnnys entertainment
243,The All-American Rejects,rock,alternative,pop punk,punk,alternative rock,punk rock,pop rock,male vocalists,emo,indie
244,The Rasmus,rock,alternative,alternative rock,finnish,pop,male vocalists,00s,anette olzon,classic rock,cute
245,Akira Yamaoka,ambient,soundtrack,electronic,japanese,instrumental,electronica,experimental,video game music,dark ambient,covers
246,Crossfade,rock,alternative rock,alternative,hard rock,post-grunge,american,awesome,metal,nu metal,punk
247,G-Dragon,k-pop,dance,kpop,korean,k-rap,star,songwriter,so sexy,pop,please let me lick you
248,blink-182,punk rock,pop punk,alternative,punk,rock,alternative rock,pop,<3,american,seen live
249,The National,indie rock,indie,alternative,alternative rock,seen live,rock,post-punk,love at first listen,male vocalists,so fucking good
250,Cordel do Fogo Encantado,alternative,brazilian,brasil,eclectic,guitar,indie,macumba music,mpb,multiculti,multicultural
251,Sigur Rós,ambient,post-rock,alternative,icelandic,experimental,indie,beautiful,post rock,chillout,electronic
252,Tokyo Police Club,indie rock,canadian,indie,post-punk,alternative,male vocalists,rock,robots,post-punk revival,need to see live
253,The Kills,indie,alternative,indie rock,rock,garage rock,alternative rock,british,seen live,female vocalists,post-punk revival
254,Móveis Coloniais de Acaju,alternative,rock,alternative rock,brasil,brazilian,indie pop,ska,awesome,experimental,indie
255,Mombojó,brazilian,brasil,alternative,mpb,seen live,samba,rock,relaxing,relax,jazz
256,Bat for Lashes,indie,alternative,female vocalists,singer-songwriter,folk,experimental,piano,ambient,indie pop,british
257,The Strokes,indie,rock,alternative,indie rock,alternative rock,garage rock,post-punk,00s,the strokes,electronic
258,Yeah Yeah Yeahs,indie rock,indie,alternative,female vocalists,rock,alternative rock,punk,garage rock,dance,fucking awesome
259,Rilo Kiley,indie rock,indie,indie pop,alternative,female vocalists,seen live,rock,not-emo,songs to download later,songs that make me want to make love
260,The Cribs,indie rock,indie,british,alternative,alternative rock,indie luv,inlove,leeds,lms artist,post-punk
261,The Libertines,indie,indie rock,british,rock,alternative,britpop,punk,alternative rock,acoustic,punk rock
262,The Smiths,80s,indie,alternative,new wave,post-punk,rock,british,alternative rock,indie rock,uk
263,Kate Nash,female vocalists,indie,british,indie pop,pop,singer-songwriter,piano,folk,alternative,female vocalist
