,tagID,value,uses,popularity
458,750,post hardcore,42,42
459,7937,pop singles,42,42
460,3538,real talk,42,42
461,1228,guitar solo,42,42
462,9818,neon space,42,42
463,371,r and b,42,42
464,8052,better than metallica,42,42
465,4955,1008,42,42
466,3537,the truth,42,42
467,10559,ohmydamn,42,42
468,4052,brazilian music,42,42
469,1017,math rock,42,42
470,2215,russian rock,41,41
471,1530,breathtaking,41,41
472,12021,weekly top tracks,41,41
473,2610,new weird america,41,41
474,414,melodic metal,41,41
475,1159,deep,41,41
476,11956,jet set radio future,41,41
477,2784,france,41,41
478,3175,harmonies,41,41
479,535,baroque,41,41
480,6162,hip hop/rap,41,41
481,1223,marisa mix,41,41
482,3183,nelly furtado,41,41
483,6573,sufi,40,40
484,6482,skins soundtrack,40,40
485,1880,one tree hill,40,40
486,794,play this loud enough to raise the dead,40,40
487,991,musical,40,40
488,6629,bark,40,40
489,9764,i am in love with this song,40,40
490,259,psychobilly,40,40
491,835,nostalgia,40,40
492,9471,0 play yet,40,40
493,11792,songs to download later,40,40
494,547,fusion,40,40
495,4283,let's dance,40,40
496,567,rave,40,40
497,11933,girlamazing,39,39
498,9765,hyper,39,39
499,1434,the beatles,39,39
500,9824,i love my dad taste,39,39
501,2143,my angular favourites,39,39
502,1640,samba,39,39
503,1843,russian alternative,39,39
504,12642,gluhie 90e,39,39
505,3828,goddesses,39,39
506,62,trip hop,39,39
507,4397,political,39,39
508,1505,preferidas,38,38
509,11791,not-emo,38,38
510,3810,jesus,38,38
511,3182,mya,38,38
512,252,mod,38,38
513,11439,lefties,38,38
514,3586,contemporary classical,38,38
515,2766,acoustic guitar,38,38
516,145,kpop,38,38
517,3496,artists,38,38
518,1550,seventies,38,38
519,6256,wonderful through headphones,38,38
520,1682,technical metal,38,38
521,12265,favorite bands and artists,38,38
522,6645,new country,38,38
523,493,glee,38,38
524,1847,manchester,37,37
525,1208,8-bit,37,37
526,1136,bass,37,37
527,3178,tweet,37,37
528,6794,cities,37,37
529,3176,timbaland,37,37
530,7643,diego,37,37
531,2548,heavy,37,37
532,8506,oscar winning songs,37,37
533,1248,rio grande do sul,37,37
534,1952,00's,37,37
535,12219,launge,37,37
536,1079,trancecore,37,37
537,12022,weekly top artists,37,37
538,3174,brandy,37,37
539,1084,2006,36,36
540,5329,anti-folk,36,36
541,7800,edit,36,36
542,3181,contemporary rnb,36,36
543,3883,as,36,36
544,196,polish rock,36,36
545,2166,eclectic,36,36
546,698,love song,36,36
547,2495,thrash,36,36
548,3177,missy elliott,36,36
549,124,pop dance,36,36
550,1951,70's,36,36
551,546,jazz fusion,36,36
552,4530,post-punk revival,36,36
553,3545,poignant,36,36
554,3543,solid,36,36
555,8397,jams,36,36
556,7640,top christian,36,36
557,8450,redone,35,35
558,962,my fav fun,35,35
559,6900,title is a full sentence,35,35
560,3173,tyler adam,35,35
561,658,lady gaga,35,35
562,3658,jean marc toma,35,35
563,3555,east coast rap,35,35
564,9472,cesar,35,35
565,2385,abstract hip-hop,35,35
566,8501,best songs of the 70s,35,35
567,3790,fave songs ever,35,35
568,7641,diego 12,35,35
569,887,new wave songs,35,35
570,8307,these songs are just amazing,35,35
571,2197,alternative dance,35,35
572,957,scholes song,34,34
573,4261,delta blues,34,34
574,3542,great lyricists,34,34
575,3882,tags,34,34
576,10533,recos,34,34
577,1790,retro,34,34
578,8500,best songs of the 80s,34,34
579,11934,heartbroke,34,34
580,6576,saxophone,34,34
581,8505,the best classical opera and film scores,34,34
582,1734,neo-soul,34,34
583,8508,best songs in the world,34,34
584,4300,sexy songs,34,34
585,2608,japan,34,34
586,11469,myfavoritesongs,34,34
587,11798,yay,33,33
588,1767,country ladies,33,33
589,3925,rocksteady,33,33
590,2138,first-rate and free,33,33
591,279,ska punk,33,33
592,11614,wicked women,33,33
593,8308,great moments at et7,33,33
594,1212,favourite artists,33,33
595,1247,rock gaucho,33,33
596,2006,duran duran,33,33
597,7642,jesus 12,33,33
598,1080,mexico,33,33
599,3547,neat,33,33
600,4079,motown,33,33
601,8504,best songs of the 50s,33,33
602,1039,1997,33,33
603,11691,egzamin,33,33
604,1965,dance music,33,33
605,4711,random songs,33,33
606,1322,post-metal,33,33
607,11499,leftovergrooves,33,33
608,10691,triple j,33,33
609,9473,rafa,32,32
610,1835,beats,32,32
611,1882,favorite song,32,32
612,9425,deep-clash,32,32
613,683,country pop,32,32
614,569,germany,32,32
615,2208,british invasion,32,32
616,368,mexican,32,32
617,7894,good mood music,32,32
618,3184,ginuwine,32,32
619,2204,experimental rock,32,32
620,9825,just chillin,32,32
621,960,my pleasuredome,32,32
622,1642,excellent reason for crying,32,32
623,3180,kiley dean,32,32
624,3179,aaliyah,32,32
625,3535,new york shit,31,31
626,6824,electric blues,31,31
627,8306,songs that remind me of summer 07-08,31,31
628,6795,colors,31,31
629,8235,1966,31,31
630,1107,avant garde,31,31
631,12092,fascinating,31,31
632,3552,superb,31,31
633,4411,charmed,31,31
634,12639,winds of soul,31,31
635,5939,80s hardcore,31,31
636,3187,janet jackson,31,31
637,3599,pagan,31,31
638,42,synth-pop,31,31
639,95,autumn,31,31
640,963,touching song,31,31
641,10362,rhythmalizm,31,31
642,7255,mistagged track,30,30
643,2362,dream,30,30
644,958,the pedofinder general,30,30
645,3653,chef musinum,30,30
646,3651,lostfreeq,30,30
647,6049,female artists,30,30
648,1423,humor,30,30
649,1387,country rock,30,30
650,7895,good mood songs,30,30
651,7644,adoracao,30,30
652,7188,approfondire,30,30
653,5693,african,30,30
654,2458,deep house,30,30
655,425,pastel,30,30
656,71,hiphop,30,30
657,12041,todaysart,30,30
658,628,wtf,30,30
659,2640,beast,29,29
660,12638,ezbeni,29,29
661,6796,transport,29,29
662,3652,new beat,29,29
663,3554,dope cut,29,29
664,728,rock en espanol,29,29
665,4523,1990s,29,29
666,814,perfection,29,29
667,4613,politeconomist realife soundtrack,29,29
668,12220,light trip-hop,29,29
669,8826,late night tunes,29,29
670,10110,psychosis,29,29
671,766,holiday soundtrack,29,29
672,2199,british punk,29,29
673,9431,deepclash,29,29
674,2692,nintendocore,29,29
675,9745,makes me wanna dance,29,29
676,1771,kickass,29,29
677,9972,dance - trance,29,29
678,344,witch house,29,29
679,961,zadrotstvo,29,29
680,907,synthpop artists,29,29
681,11440,anarchist,29,29
682,3259,symphonic prog,28,28
683,3775,2000s,28,28
684,7334,ottoman,28,28
685,4273,bebop,28,28
686,9827,i want to dance in my underwear,28,28
687,1366,freestyle,28,28
688,1041,2005,28,28
689,1273,breakbeat,28,28
690,1973,house music,28,28
691,1455,dancehall,28,28
692,3551,banger,28,28
693,2272,progressive house,28,28
694,1469,minimal techno,28,28
695,8711,riot grrl,28,28
696,3540,ill,28,28
697,8237,1967,28,28
698,896,1981 songs,28,28
699,978,opera,27,27
700,11738,mine,27,27
701,4046,italian progressive rock,27,27
702,607,dutch,27,27
703,1278,crossover,27,27
704,892,1982 songs,27,27
705,8462,lastfm,27,27
706,899,1983 songs,27,27
707,870,dnb,27,27
708,8305,great memories with my geeem,27,27
709,2141,my indie friends,27,27
710,8238,1964,27,27
711,2213,beatdown,27,27
712,3597,russia,27,27
713,3557,witty,27,27
714,8499,best songs of the 90s,27,27
715,1972,dance 00s,27,27
716,3560,mean,27,27
717,7286,prog metal,27,27
718,283,raw,27,27
719,4340,surf rock,27,27
720,2430,good,27,27
721,10537,top100,27,27
722,1964,bouncy,27,27
723,1870,funky,27,27
724,2489,video game music,27,27
725,10,harsh ebm,27,27
726,8310,viaje de egresados,26,26
727,9727,vocalista feminimo,26,26
728,5778,minimalism,26,26
729,1613,bitch,26,26
730,3275,world fusion,26,26
731,4620,summer time,26,26
732,147,top,26,26
733,8236,1965,26,26
734,358,queen of pop,26,26
735,1025,1990,26,26
736,6445,post modern,26,26
737,9429,dark disco,26,26
738,3234,flamenco,26,26
739,10092,blitz playlist,26,26
740,6363,turkce,26,26
741,774,amazing voice,26,26
742,1426,quirky,26,26
743,964,ogonj,26,26
744,6798,numbers,26,26
745,1967,sing along,26,26
746,10532,wish list,26,26
747,9826,hoy tengo ganas de llorar,26,26
748,4922,1970's,26,26
749,3706,true norwegian black metal,26,26
750,3559,assertive,25,25
751,612,deathrock,25,25
752,8502,best songs of the 60s,25,25
753,4721,powerful voice,25,25
754,4956,guerilla,25,25
755,3186,kelly rowland,25,25
756,268,surf,25,25
757,1966,all time hit,25,25
758,3333,danish,25,25
759,696,1970s,25,25
760,3185,monica,25,25
761,6253,animals,25,25
762,2200,adult contemporary,25,25
763,1323,grime,25,25
764,891,synthpop songs,25,25
765,2520,best songs ever,25,25
766,6444,coisa de deus,25,25
767,1634,modern country,25,25
768,9828,q sexy,25,25
769,8015,europe,25,25
770,2609,freak folk,25,25
771,1532,symphonic black metal,25,25
772,3549,real hip-hop,25,25
773,1834,nu-jazz,25,25
774,318,traditional,25,25
775,639,queen,25,25
776,6483,complete sentences,25,25
777,3252,crunk,25,25
778,8048,driving music,25,25
779,5010,playlist,25,25
780,3779,novelty,25,25
781,3609,harmonica,25,25
782,4263,chicago blues,25,25
783,3657,independent,25,25
784,5322,james bond,24,24
785,959,po-kraftwerkski,24,24
786,3188,bubba sparxxx,24,24
787,1001,darkstep,24,24
788,2892,psychill,24,24
789,3008,good stuff,24,24
790,3550,fiya,24,24
791,2380,favorite artists,24,24
792,1943,poetry,24,24
793,519,eighties,24,24
794,2806,divas,24,24
795,550,black music 4 black ppl listened 2 by white hipsters,24,24
796,1424,drugs,24,24
797,12026,hecho en mexico,24,24
798,422,male vocals,24,24
799,7801,song with samples,24,24
800,8002,drive,24,24
801,10212,musikfuerrundumdieuhr,24,24
802,2384,downbeat,24,24
803,4720,hooooooooot,24,24
804,1796,smooth jazz,24,24
805,1083,dirty south,24,24
806,343,crust,24,24
807,1846,chillwave,23,23
808,3558,lyricism,23,23
809,11879,hand claps,23,23
810,11878,the songs that make me sick with butterflies,23,23
811,261,punkabilly,23,23
812,7256,berep guest dj closedmouth 239645,23,23
813,661,ballads,23,23
814,1737,krautrock,23,23
815,6934,favourite bands,23,23
816,5632,spanish metal,23,23
817,9639,arkadi,23,23
818,2575,obscure,23,23
819,66,abstract,23,23
820,2850,better than lady gaga,23,23
821,9427,in the witch house family,23,23
822,3097,warp,23,23
823,2377,european,23,23
824,1956,demo,22,22
825,9433,in the chillwave family,22,22
826,3807,blue,22,22
827,2021,melodic metalcore,22,22
828,700,60's,22,22
829,8161,good bands,22,22
830,330,death,22,22
831,537,neofolk,22,22
832,3,goth rock,22,22
833,8572,bad day,22,22
834,9829,es pop mama,22,22
835,10363,rhymez,22,22
836,9430,anti-witch house,22,22
837,7474,guitar blues,22,22
838,2091,true black metal,22,22
839,7587,frauen und technik,22,22
840,3600,1969,22,22
841,5694,africa,22,22
842,10111,tron,22,22
843,2087,depressive black metal,22,22
844,10138,tech - prog death,22,22
845,2288,under 2000 listeners,22,22
846,2824,violin,22,22
847,1842,math metal,21,21
848,847,female vocal,21,21
849,8239,1968,21,21
850,12027,cocksucker,21,21
851,4605,shoegazer,21,21
852,901,1984 songs,21,21
853,632,rihanna,21,21
854,2638,boybands,21,21
855,1969,dance 90s,21,21
856,1975,90s dance,21,21
857,2092,norwegian black metal,21,21
858,37,groove,21,21
859,789,2010s,21,21
860,8116,turkish rock,21,21
861,4928,approved by prince vegeta,21,21
862,1646,just makes you feel good,21,21
863,5076,nasheed,21,21
864,5009,rockville ca,21,21
865,8573,life on mars,21,21
866,4944,top 20,21,21
867,4926,approved by goku,21,21
868,2196,new discovery,20,20
869,6797,girls names,20,20
870,2209,arena rock,20,20
871,3244,acid,20,20
872,501,pet shop boys,20,20
873,104,chill out,20,20
874,1968,male and female,20,20
875,3343,melodic black metal,20,20
876,4116,latin rock,20,20
877,12288,pretty little liars,20,20
878,1030,1986,20,20
879,936,mariah carey,20,20
880,8309,songs i sing with my mom,20,20
881,3210,women,20,20
882,5193,german hiphop,20,20
883,3631,us,20,20
884,664,christina aguilera,20,20
885,4102,4ad,20,20
886,3926,psicodelia,20,20
887,1489,fav female singers,20,20
888,3310,jazzy,20,20
889,4923,1980's,20,20
890,2534,free jazz,20,20
891,1024,1988,20,20
892,4774,the oc,20,20
893,9192,boyband,19,19
894,1554,romantica,19,19
895,918,american artists,19,19
896,4679,japanese music,19,19
897,351,europop,19,19
898,7040,contemporary jazz,19,19
899,6213,rhythmic noise,19,19
900,8899,instrumental blues,19,19
901,131,girl groups,19,19
902,5258,2003,19,19
903,3834,britrock,19,19
904,2056,pop-punk,19,19
905,4953,80s metal,19,19
906,9438,neo-electro,19,19
907,8516,raven girls top 20,19,19
908,3700,finnish metal,19,19
909,6128,phoda,19,19
910,1101,morning,19,19
911,1684,horrorpunk,19,19
912,5217,guys i would fuck,19,19
913,6928,aussie,19,19
914,1845,horror punk,19,19
915,9953,makes me wanna kick someones ass,19,19
916,2660,hello project,19,19
917,1430,big beat,19,19
918,1886,fucking amazing,19,19
919,10587,tambourine,19,19
920,1026,1994,19,19
921,3061,orchestral,19,19
922,9640,bazarov,19,19
923,795,haunting,19,19
924,1359,modern metal,19,19
925,5740,watched live,19,19
926,1344,harmonica blues,19,19
927,9432,broken-clash,19,19
928,6853,hey song youre so fucking cute,19,19
929,9262,80s i like,19,19
930,10692,beautiful music,19,19
931,9952,totalmente foda,19,19
932,1644,fuck yeah,18,18
933,11442,songwriters,18,18
934,2346,new,18,18
935,4921,1960's,18,18
936,5294,words are cheap to describe my love,18,18
937,12030,puta de mierda ojala y te mueras con un pinche dildo electrico atorado en tu ronosa pucha,18,18
938,9439,deconstruction,18,18
939,11936,dj gold,18,18
940,1869,rainy day,18,18
941,4070,xmas,18,18
942,2531,turntablism,18,18
943,5094,religion,18,18
944,11511,desert,18,18
945,2505,cybergrind,18,18
946,8884,beatiful,18,18
947,9183,new album loves,18,18
948,4927,nineties,18,18
949,4117,very kvlt,18,18
950,10862,united kingdom,18,18
951,4120,norway,18,18
952,2606,sixties,18,18
953,10588,vaguely homosexual,18,18
954,6801,cops,18,18
955,4934,60s pop,18,18
956,6646,drinking,18,18
957,4886,female electronic,18,18
958,1643,these guys fucking rule,18,18
959,2183,underground,18,18
960,657,katy perry,18,18
961,9973,seen in concert,18,18
962,8854,buy this,18,18
963,1091,inspirational,18,18
964,12289,life unexpected,18,18
965,9954,best bands,17,17
966,4140,australia,17,17
967,7588,ladytronica,17,17
968,5848,makes me cry,17,17
969,11512,sahara,17,17
970,3364,crap,17,17
971,2206,folk-rock,17,17
972,290,lesser known yet streamable artists,17,17
973,6485,fashionably punctuated band,17,17
974,9491,musica popular brasileira,17,17
975,3708,music for my soul,17,17
976,1912,great voice,17,17
977,9428,witch chill,17,17
978,919,b-sides,17,17
979,8716,indierock,17,17
980,11899,seth cohen would listen to this,17,17
981,2185,music,17,17
982,6103,i love,17,17
983,2808,forever in heart,17,17
984,714,sweden,17,17
985,2666,japanese pop,17,17
986,624,electro house,17,17
987,542,avant-garde metal,17,17
988,2363,ultimate rock ballads,17,17
989,3544,brooklyn,17,17
990,1031,1984,17,17
991,2194,blue-eyed soul,17,17
992,8574,titans,17,17
993,7103,loved tracks,17,17
994,3076,slowcore,17,17
995,4516,choral,17,17
996,2007,paramore,17,17
997,2712,all time faves,17,17
998,6804,days,17,17
999,1251,italian pop,17,17
1000,7997,tamir,17,17
1001,4920,1960s,17,17
1002,11692,polecane,17,17
1003,4915,crime,17,17
1004,12032,best free stuff,17,17
1005,734,latino,17,17
1006,1979,slow,17,17
1007,7258,i am a party girl here is my soundtrack,16,16
1008,2793,neoclassical,16,16
1009,1279,old school death metal,16,16
1010,4932,70s pop,16,16
1011,2360,uplifting,16,16
1012,9766,i love dancing about to this like a complete and utter idiot,16,16
1013,4933,under two minutes,16,16
1014,1240,2004,16,16
1015,410,albums i own,16,16
1016,8314,wake up song,16,16
