,Artista,rock,pop,alternative,electronic,indie,female vocalists,80s,dance,alternative rock,classic rock
64,Jean-Michel Jarre,0,1,0,1,0,0,0,0,0,0
65,Ministry of Sound,0,0,0,0,0,0,0,1,0,0
66,Simply Red,1,1,1,0,0,0,1,1,0,0
67,Fleetwood Mac,1,1,0,0,0,1,1,0,0,1
68,Duffy,0,1,0,0,1,1,0,0,0,0
69,Japan,0,0,0,1,0,0,1,1,0,0
70,INXS,1,1,1,0,1,0,1,1,1,1
71,ABC,0,1,0,0,0,0,1,0,0,0
72,Segue,0,0,0,1,0,0,0,0,0,0
73,Burial,0,0,0,1,0,0,0,0,0,0
74,The Notwist,1,0,0,1,1,0,0,1,0,0
75,Worm Is Green,0,0,0,1,0,0,0,0,0,0
76,Matryoshka,0,0,0,1,0,0,0,0,0,0
77,Daisuke Miyatani,0,0,0,1,0,0,0,0,0,0
78,Hird,0,0,0,1,0,0,0,0,0,0
79,Deep Forest,0,0,0,1,0,0,0,0,0,0
80,Porcupine Tree,1,0,1,0,0,0,0,0,1,0
81,De/Vision,0,0,1,1,0,0,1,1,0,0
82,Radiohead,1,1,1,1,1,0,1,0,1,1
83,Robbie Williams,1,1,1,0,1,0,1,0,0,0
84,VAST,1,0,1,1,1,0,0,0,1,0
85,Michael Jackson,1,1,1,0,0,0,1,1,0,1
86,The Cure,1,1,1,1,1,0,1,0,1,1
87,Enrique Iglesias,1,1,0,1,0,0,0,1,0,0
88,God Is an Astronaut,1,0,1,0,0,0,0,0,1,0
89,Pink Floyd,1,0,1,1,1,0,1,0,1,1
90,Planet Funk,0,1,0,1,0,0,0,1,0,0
91,The Cranberries,1,1,1,0,1,1,0,0,1,1
92,Scissor Sisters,1,1,1,1,1,1,0,1,0,0
93,Mew,1,0,1,0,1,0,0,0,1,0
94,Stereophonics,1,0,1,0,1,0,0,0,1,0
95,Garbage,1,1,1,1,1,1,1,1,1,0
96,Placebo,1,1,1,1,1,0,0,0,1,0
97,Infected Mushroom,0,0,0,1,0,0,0,0,0,0
98,Delerium,0,0,1,1,0,0,0,1,0,0
99,Scorpions,1,0,0,0,0,0,1,0,0,1
100,Dolores O'Riordan,1,0,1,0,0,1,0,0,1,0
101,Tommy Lee,1,0,1,0,0,0,0,0,1,0
102,Roxette,1,1,0,0,0,1,1,0,0,1
103,Keane,1,1,1,0,1,0,0,1,1,0
104,Jamiroquai,0,1,0,1,0,0,0,1,0,0
105,James Blunt,1,1,1,0,1,0,0,0,0,0
106,Reamonn,1,0,0,0,0,0,0,0,1,0
107,Blackfield,1,0,1,0,0,0,0,0,1,0
108,a-ha,1,1,1,1,0,0,1,1,0,0
109,Opeth,0,0,1,0,0,0,0,0,0,0
110,Poets of the Fall,1,0,1,0,1,0,0,0,1,0
111,Muse,1,1,1,1,1,0,0,1,1,0
112,OneRepublic,1,1,1,0,1,0,0,0,1,0
113,Elton John,1,1,0,0,0,0,1,1,0,1
114,Tears for Fears,1,1,1,1,0,0,1,1,1,1
115,Bright Eyes,1,0,1,0,1,0,0,0,0,0
116,Beirut,1,0,1,0,1,0,0,0,0,0
117,Tom Waits,1,0,1,0,0,0,1,0,1,0
118,System of a Down,1,0,1,0,0,0,0,0,1,0
119,Arcade Fire,1,0,1,0,1,0,0,0,1,0
120,Gogol Bordello,0,0,1,0,0,0,0,0,0,0
121,CAKE,1,1,1,0,1,0,0,0,1,0
122,Blur,1,1,1,0,1,0,0,0,1,1
123,Damien Rice,1,0,1,0,1,0,0,0,0,0
124,Andrew Bird,0,1,1,0,1,0,0,0,0,0
125,Beck,1,1,1,1,1,0,0,1,1,0
126,Arctic Monkeys,1,0,1,0,1,0,0,1,1,0
127,Babyshambles,1,0,1,0,1,0,0,0,1,0
128,My Chemical Romance,1,1,1,0,1,0,0,0,1,0
129,Bloc Party,1,0,1,0,1,0,0,1,1,0
130,The Decemberists,1,0,1,0,1,0,0,0,0,0
131,Bob Dylan,1,0,1,0,1,0,1,0,0,1
132,DeVotchKa,1,0,1,0,1,0,0,0,0,0
133,Jeff Buckley,1,1,1,0,1,0,0,0,1,1
134,Sparklehorse,1,0,1,0,1,0,0,0,0,0
135,Death Cab for Cutie,1,1,1,1,1,0,1,0,1,0
136,M. Ward,0,0,1,0,1,0,0,0,0,0
137,Red Hot Chili Peppers,1,1,1,0,1,0,1,0,1,1
138,Travis,1,1,1,0,1,0,0,0,1,0
139,Modest Mouse,1,0,1,0,1,0,0,0,1,0
140,Band of Horses,1,1,1,0,1,0,0,0,1,0
141,Interpol,1,0,1,0,1,0,1,0,1,1
142,Queens of the Stone Age,1,0,1,0,1,0,0,0,1,0
143,The Beatles,1,1,1,0,1,0,1,1,1,1
144,Kings of Leon,1,0,1,0,1,0,0,1,1,0
145,The Killers,1,1,1,1,1,0,0,1,1,0
146,Green Day,1,1,1,0,1,0,0,0,1,0
147,Devendra Banhart,0,0,1,0,1,0,0,0,0,0
148,Nine Inch Nails,1,0,1,1,0,0,1,0,1,0
149,Nirvana,1,1,1,0,1,0,1,0,1,1
150,Eels,1,0,1,0,1,0,1,0,0,0
151,Clap Your Hands Say Yeah,0,1,1,0,1,0,0,0,0,0
152,Thom Yorke,1,0,1,1,1,0,0,1,1,0
153,Massive Attack,1,0,1,1,1,1,0,1,0,0
154,Keyshia Cole,0,1,0,0,0,1,0,0,0,0
155,Toni Braxton,0,1,0,0,0,1,0,1,0,0
156,Bob Marley & The Wailers,0,0,0,0,0,0,0,0,0,1
157,Adriana Calcanhotto,0,1,0,0,0,1,0,0,0,0
158,Common,0,1,0,0,0,0,0,0,0,0
159,Bob Marley,1,0,0,0,0,0,0,0,0,0
160,Whitney Houston,0,1,0,0,0,1,1,1,0,0
161,Tamia,0,0,0,0,0,1,0,0,0,0
162,Bryan Adams,1,1,1,0,0,0,1,0,0,1
163,Kid Abelha,1,1,0,0,0,1,1,0,0,0
164,Mariah Carey,0,1,0,0,0,1,0,1,0,0
165,Tina Turner,1,1,0,0,0,1,1,0,0,1
166,Floetry,0,0,0,0,0,1,0,0,0,0
167,Marisa Monte,0,1,0,0,0,1,0,0,0,0
168,Mary J. Blige,0,0,1,0,0,1,0,0,0,0
169,Sara Tavares,0,0,0,0,0,1,0,0,0,0
170,Céline Dion,0,1,1,0,0,1,1,1,0,0
171,Erykah Badu,0,0,1,0,0,1,0,0,1,0
172,Richard Marx,1,1,0,0,0,0,1,0,0,1
173,Maria Bethânia,0,0,0,0,0,1,0,0,0,0
174,Faith Evans,0,0,0,0,0,1,0,0,0,0
175,Gang Starr,0,0,0,0,0,0,1,0,0,0
176,Brandy,1,1,0,1,0,1,0,1,0,0
177,Ana Carolina,0,1,1,0,0,1,0,1,0,0
178,Janet Jackson,1,1,0,0,0,1,1,1,0,0
179,Peter Tosh,0,0,0,0,0,0,1,0,0,0
180,Monica,0,0,0,0,0,1,0,0,0,0
181,Rihanna,1,1,0,1,0,1,0,1,0,0
182,Britney Spears,1,1,1,1,0,1,0,1,0,0
183,Jordin Sparks,0,1,0,1,0,1,0,1,0,0
184,Kelly Clarkson,1,1,1,1,0,1,0,1,1,0
185,Christina Aguilera,1,1,1,1,1,1,0,1,0,0
186,Ashlee Simpson,1,1,0,1,1,1,0,1,1,0
187,Leona Lewis,0,1,0,0,0,1,0,0,0,0
188,Beyoncé,1,1,0,1,0,1,0,1,0,0
189,Sugababes,0,1,0,1,0,1,0,1,0,0
190,David Cook,1,1,1,0,0,0,0,0,1,0
191,Lily Allen,1,1,1,1,1,1,0,1,0,0
192,Jennifer Lopez,1,1,0,1,0,1,0,1,0,0
193,Katy Perry,1,1,0,1,1,1,0,1,1,0
194,Alicia Keys,1,1,0,0,0,1,0,0,0,0
195,P!nk,1,1,1,0,1,1,0,1,0,0
196,Panic at the Disco,1,1,1,0,0,0,0,0,0,0
197,David Archuleta,0,1,0,1,0,0,0,1,0,0
198,Katharine McPhee,0,1,0,0,0,1,0,1,0,0
199,Black Eyed Peas,1,1,1,1,0,1,0,1,0,0
200,Kate Voegele,1,1,0,0,0,1,0,0,0,0
201,Kat DeLuna,0,1,0,0,0,1,0,1,0,0
202,Danity Kane,0,1,0,0,0,1,0,1,0,0
203,Nelly Furtado,1,1,1,1,0,1,0,1,0,0
204,Natasha Bedingfield,0,1,0,0,0,1,0,1,0,0
205,Cassie,0,1,0,0,0,1,0,1,0,0
206,Allison Iraheta,1,1,0,0,1,1,0,0,0,0
207,Ciara,0,1,0,1,0,1,0,1,0,0
208,Alanis Morissette,1,1,1,0,1,1,0,0,1,1
209,Keri Hilson,0,1,0,0,0,1,0,1,0,0
210,Hilary Duff,1,1,0,1,0,1,0,1,0,0
211,Haley James Scott,0,0,0,0,0,1,0,0,0,0
212,Fergie,0,1,0,0,0,1,0,1,0,0
213,Jonas Brothers,1,1,0,0,0,0,0,0,1,0
214,Ashanti,0,1,0,0,0,1,0,0,0,0
215,The Saturdays,0,1,0,1,0,1,0,1,0,0
216,Cobra Starship,1,1,1,1,1,0,0,1,1,0
217,Ashley Tisdale,1,1,0,0,0,1,0,1,0,0
218,JoJo,0,1,0,0,0,1,0,1,0,0
219,Chris Brown,0,1,0,1,0,1,0,1,0,0
220,David Guetta,0,1,0,1,1,1,0,1,0,0
221,Justin Timberlake,0,1,0,1,0,0,0,1,0,0
222,T.I.,0,0,0,0,0,0,0,1,0,0
223,Kanye West,0,0,1,1,0,0,0,1,1,0
224,Kelly Rowland,0,1,0,1,0,1,0,1,0,0
225,Avril Lavigne,1,1,1,1,1,1,0,1,1,0
226,No Angels,0,1,0,0,0,1,0,0,0,0
227,Sandy,1,1,0,0,0,0,0,0,0,0
228,Queensberry,0,1,0,0,0,1,0,0,0,0
229,Cher,1,1,0,1,0,1,1,1,0,0
230,Colbie Caillat,1,1,1,0,1,1,0,0,1,0
231,Annett Louisan,0,1,0,0,0,1,0,0,0,0
232,Taylor Swift,1,1,0,0,0,1,0,1,0,0
233,Nadja Benaissa,0,0,0,0,0,1,0,0,0,0
234,Lena,0,1,0,0,1,1,0,0,0,0
235,Cassandra Steen,0,1,0,0,0,1,0,0,0,0
236,Wir sind Helden,1,1,0,0,0,0,0,0,0,0
237,The Pussycat Dolls,0,1,0,1,0,1,0,1,0,0
238,Monrose,0,1,0,0,0,1,0,1,0,0
239,Gabrielle,0,1,0,0,0,1,0,1,0,0
240,Cheryl Cole,0,1,0,1,0,1,0,1,0,0
241,Sarah Connor,0,1,0,0,0,1,0,1,0,0
242,Jason Mraz,1,1,1,0,1,0,1,1,1,0
243,Brad Paisley,1,0,0,0,1,0,0,0,0,0
244,Diyana,0,1,0,0,0,1,0,0,0,0
245,Maria Mena,1,1,1,0,0,1,0,0,1,0
246,Shania Twain,1,1,0,0,0,1,0,1,0,0
247,A Fine Frenzy,0,1,1,0,1,1,0,0,0,0
248,Sugarland,1,0,1,0,0,1,0,0,1,0
249,Jack Johnson,1,1,1,0,1,0,0,0,1,0
250,BIG BANG,0,1,0,0,0,0,0,1,0,0
251,2PM,0,1,0,0,0,0,0,0,0,0
252,Katatonia,1,0,0,0,0,0,0,0,0,0
253,Skillet,1,0,1,0,0,0,0,0,1,0
254,宇多田ヒカル,0,1,0,0,0,1,0,1,0,0
255,浜崎あゆみ,0,1,0,1,0,1,0,0,0,0
256,Linkin Park,1,1,1,1,0,0,0,0,1,0
257,Evanescence,1,1,1,1,0,1,0,0,1,1
258,中島美嘉,0,1,0,0,0,1,0,0,0,0
259,Blackmore's Night,1,0,0,0,0,1,0,0,0,0
260,C.N.BLUE,1,0,0,0,0,0,0,0,0,0
261,Bad Religion,1,0,1,0,0,0,0,0,0,0
262,Cascada,0,1,0,1,0,1,0,1,0,0
263,Enya,0,1,0,1,0,1,1,0,0,0
264,Super Junior,0,1,0,0,0,0,0,1,0,0
265,嵐,0,1,0,0,0,0,0,1,0,0
266,2NE1,0,1,0,0,0,0,0,1,0,0
267,The All-American Rejects,1,1,1,1,1,0,0,0,1,0
268,The Rasmus,1,1,1,0,0,0,0,0,1,1
269,HYDE,1,0,0,0,0,0,0,0,0,0
270,Akira Yamaoka,0,0,0,1,0,0,0,0,0,0
271,Crossfade,1,0,1,0,0,0,0,0,1,0
272,G-Dragon,0,1,0,0,0,0,0,1,0,0
273,GD&TOP,0,1,0,0,0,0,0,0,0,0
274,blink-182,1,1,1,0,0,0,0,0,1,0
275,The National,1,0,1,0,1,0,0,0,1,0
276,Cordel do Fogo Encantado,0,0,1,0,1,0,0,0,0,0
277,Sigur Rós,1,0,1,1,1,0,0,0,1,0
278,Tokyo Police Club,1,0,1,0,1,0,0,0,0,0
279,The Kills,1,0,1,1,1,1,0,0,1,0
280,Móveis Coloniais de Acaju,1,0,1,0,1,0,0,0,1,0
281,Mombojó,1,0,1,0,1,0,0,0,1,0
282,Bat for Lashes,1,1,1,1,1,1,0,0,1,0
283,The Strokes,1,0,1,1,1,0,0,1,1,1
284,Yeah Yeah Yeahs,1,0,1,1,1,1,0,1,1,0
285,Rilo Kiley,1,0,1,0,1,1,1,0,0,0
286,The Cribs,0,0,1,0,1,0,0,0,1,0
287,The Libertines,1,0,1,0,1,0,0,0,1,0
288,The Smiths,1,1,1,0,1,0,1,0,1,1
289,Kate Nash,1,1,1,0,1,1,0,0,1,0
290,Wolf Parade,1,0,1,0,1,0,0,0,0,0
291,Klaxons,0,0,1,1,1,0,0,1,1,0
292,Broken Social Scene,1,0,1,1,1,0,0,0,0,0
293,Spoon,1,0,1,0,1,0,1,0,1,0
294,The Smashing Pumpkins,1,0,1,0,1,0,0,0,1,1
295,She & Him,0,1,1,0,1,1,0,0,0,0
296,O Teatro Mágico,0,0,1,0,0,0,0,0,0,0
297,Los Hermanos,1,0,1,0,1,0,0,0,1,0
298,Animal Collective,0,0,0,1,1,0,0,0,0,0
299,Joy Division,1,0,1,1,1,0,1,0,1,1
300,The Tallest Man on Earth,0,0,1,0,1,0,0,0,0,0
301,The Rakes,0,0,1,0,1,0,0,1,1,0
302,múm,0,0,1,1,1,0,0,0,0,0
303,Bon Iver,0,0,1,0,1,0,0,0,0,0
304,Ra Ra Riot,1,0,1,0,1,0,0,0,0,0
305,Manu Chao,0,0,1,0,0,0,0,0,0,0
306,Art Brut,0,0,0,0,1,0,0,0,0,0
307,She Wants Revenge,0,0,1,0,1,0,0,0,1,0
308,Local Natives,0,0,0,0,1,0,0,0,0,0
309,Silverchair,1,1,1,0,0,0,0,0,1,0
310,Jónsi,1,0,1,0,1,0,0,0,1,0
311,Backstreet Boys,0,1,0,0,0,0,0,1,0,0
312,Jesse McCartney,0,1,0,1,0,0,0,1,0,0
313,Aaron Carter,0,1,0,0,0,0,0,1,0,0
314,Justin Bieber,0,1,0,1,0,0,0,1,0,0
315,*NSYNC,0,1,0,0,0,0,0,1,0,0
316,Noize MC,0,0,1,0,0,0,0,0,1,0
317,Miley Cyrus,1,1,0,1,0,1,0,1,0,0
318,Blue,1,1,0,0,0,0,0,1,0,0
319,Savage Garden,1,1,1,0,0,0,0,0,0,0
320,3OH!3,1,1,1,1,1,1,0,1,0,0
321,Jessica Simpson,1,1,1,0,0,1,0,1,0,0
322,Ke$ha,0,1,0,1,1,1,0,1,0,0
323,Darren Hayes,1,1,1,1,0,0,0,1,0,0
324,Usher,0,1,0,1,0,0,0,1,0,0
325,Nick Carter,1,1,0,0,0,0,0,0,0,0
326,nevershoutnever!,0,1,1,0,1,0,0,0,0,0
327,Metro Station,0,1,1,1,1,0,0,1,0,0
328,3 Doors Down,1,1,1,0,0,0,0,0,1,0
329,Craig David,0,1,0,1,0,0,0,1,0,0
330,Eminem,1,1,1,0,0,1,0,0,0,0
331,M. Pokora,0,1,0,0,0,0,0,1,0,0
332,Daniel Merriweather,0,0,0,0,1,0,0,0,0,0
333,Westlife,0,1,0,0,0,0,0,0,0,0
334,Simple Plan,1,1,1,0,1,0,0,0,1,0
335,Ne-Yo,0,1,0,0,0,0,0,1,0,0
336,Kelis,0,1,1,1,0,1,0,1,0,0
337,30 Seconds to Mars,1,0,1,1,1,0,0,0,1,0
338,The Birthday Massacre,1,0,1,1,0,1,0,0,0,0
339,Three Days Grace,1,0,1,0,0,0,0,0,1,0
340,Limp Bizkit,1,0,1,0,0,0,0,0,1,0
341,Seether,1,0,1,0,0,0,0,0,1,0
342,Fort Minor,1,0,1,0,0,0,0,0,0,0
343,Funeral for a Friend,1,0,1,0,0,0,0,0,1,0
344,Lostprophets,1,0,1,0,0,0,0,0,1,0
345,Finch,1,0,1,0,0,0,0,0,0,0
346,This Beautiful Republic,0,0,1,0,0,0,0,0,1,0
347,Cold,1,0,1,0,0,0,0,0,1,0
348,Papa Roach,1,0,1,0,0,0,0,0,1,0
349,Paramore,1,1,1,0,1,1,0,1,1,0
350,Flyleaf,1,0,1,0,0,1,0,0,1,0
351,Bullet for My Valentine,0,0,1,0,0,0,0,0,0,0
352,Angels & Airwaves,1,0,1,0,1,0,0,0,1,0
353,LaFee,1,1,1,0,0,1,0,0,0,0
354,HIM,1,1,1,0,0,0,0,0,1,0
355,Digital Summer,0,0,1,0,0,0,0,0,1,0
356,Saosin,1,0,0,0,0,0,0,0,1,0
357,Tracktor Bowling,0,0,1,0,0,0,0,0,1,0
358,Pitchshifter,0,0,0,1,0,0,0,0,0,0
359,P.O.D.,1,0,1,0,0,0,0,0,1,0
360,U2,1,1,1,1,1,0,1,0,1,1
361,Deftones,1,0,1,0,0,0,0,0,1,0
362,Traff!c,0,0,1,0,0,0,0,0,1,0
363,Ill Niño,1,0,0,0,0,0,0,0,0,0
364,Clan of Xymox,0,0,0,1,0,0,1,0,0,0
365,Celldweller,1,0,1,1,0,0,0,0,0,0
366,Korn,1,0,1,1,1,0,0,0,1,0
367,Within Temptation,1,1,0,0,0,1,0,0,0,0
368,Static-X,1,0,1,0,0,0,0,0,0,0
369,Fluke,0,1,0,1,0,0,0,1,0,0
370,happysad,1,0,1,0,1,0,0,0,0,0
371,Lindsay Lohan,1,1,1,0,0,1,0,1,0,0
372,Jeffree Star,0,1,0,1,0,0,0,1,0,0
373,Gwen Stefani,1,1,1,1,1,1,0,1,0,0
374,La Roux,0,1,1,1,1,1,0,1,0,0
375,Lil' Wayne,0,1,0,0,0,0,0,0,0,0
376,Pixie Lott,0,1,0,1,0,1,0,1,0,0
377,Paul van Dyk,1,0,1,1,0,0,0,1,0,0
378,Alphabeat,1,1,0,1,1,1,1,1,0,0
379,Taio Cruz,0,1,0,0,0,0,0,1,0,0
380,Little Boots,0,1,1,1,1,1,0,1,0,0
381,Oasis,1,1,1,0,1,0,0,0,1,1
382,No Doubt,1,1,1,1,1,1,1,1,1,0
383,Sophie Ellis-Bextor,1,1,0,1,0,1,0,1,0,0
384,Good Charlotte,1,0,1,1,0,0,0,1,1,0
385,The Used,1,0,1,0,1,0,0,0,1,0
386,Maroon 5,1,1,1,1,1,0,0,1,1,0
387,Gossip,1,0,1,1,1,1,0,1,1,0
388,Fall Out Boy,1,1,1,0,1,0,0,0,1,0
389,Space Cowboy,0,0,0,1,0,0,0,1,0,0
390,Pitty,1,0,1,0,0,1,0,0,1,0
391,Nicole Scherzinger,0,1,0,0,0,1,0,1,0,0
392,Adam Lambert,1,1,1,0,0,0,0,1,0,0
393,Flo Rida,0,1,0,0,0,0,0,1,0,0
394,The Ting Tings,1,1,1,1,1,1,0,1,1,0
395,Kid Cudi,0,0,0,0,0,0,0,1,0,0
396,Ellie Goulding,0,1,1,1,1,1,0,1,0,0
397,The Sonics,1,0,0,0,0,0,0,0,0,0
398,The Fleshtones,0,0,0,0,0,0,1,0,0,0
399,The Barracudas,0,0,0,0,0,0,1,0,0,0
400,The Kinks,1,1,0,0,0,0,1,0,0,1
401,The Who,1,1,0,0,0,0,0,0,0,1
402,Small Faces,1,0,0,0,0,0,0,0,0,1
403,Otis Redding,1,0,0,0,0,0,0,0,0,0
404,Little Richard,1,0,0,0,0,0,0,0,0,1
405,Ray Charles,1,0,0,0,0,0,0,0,0,1
406,The Detroit Cobras,1,0,1,0,1,1,0,0,0,0
407,Aretha Franklin,0,1,0,0,0,1,1,0,0,0
408,Marvin Gaye,0,0,0,0,0,0,1,0,0,0
409,Muddy Waters,1,0,0,0,0,0,1,0,0,0
410,Sonny Boy Williamson,1,0,0,0,0,0,0,0,0,1
411,John Lee Hooker,1,0,0,0,0,0,1,0,0,1
412,The Isley Brothers,0,0,0,0,0,0,0,1,0,0
413,Chuck Berry,1,0,0,0,0,0,0,0,0,1
414,Renato Carosone,0,1,0,0,0,0,0,0,0,0
415,The Pretty Things,0,0,0,0,0,0,0,0,0,1
416,The Easybeats,0,0,0,0,0,0,0,0,0,1
417,David Bowie,1,1,1,1,1,0,1,1,1,1
418,le bowl,0,0,0,1,0,0,0,0,0,0
419,Prince,1,1,0,0,0,0,1,1,0,1
420,Iron & Wine,1,0,1,0,1,0,0,0,0,0
421,Aphex Twin,0,0,0,1,0,0,0,0,0,0
422,Kings of Convenience,1,0,1,0,1,0,0,0,0,0
423,Beastie Boys,1,0,1,1,0,0,1,0,1,0
424,José González,0,1,0,0,1,0,0,0,0,0
425,Jethro Tull,1,0,0,0,0,0,0,0,0,1
426,Tortoise,0,1,0,0,1,0,0,1,0,0
427,Nick Drake,1,0,0,0,1,0,0,0,0,1
428,Miles Davis,0,1,0,0,0,0,1,0,0,0
429,The Sea and Cake,1,1,0,0,1,0,0,0,0,0
430,Talking Heads,1,1,1,0,1,0,1,0,1,1
431,Pearl Jam,1,0,1,0,0,0,1,0,1,1
432,Elliott Smith,1,0,1,0,1,0,1,0,0,0
433,Squarepusher,0,0,0,1,0,0,0,0,0,0
434,The Roots,0,0,1,0,0,0,0,0,0,0
435,Belle and Sebastian,1,1,1,0,1,0,0,0,1,0
436,A Tribe Called Quest,0,0,0,0,0,0,1,0,0,0
437,Pulp,1,1,1,0,1,0,0,0,0,0
438,The Album Leaf,0,0,1,1,1,0,0,0,1,0
439,Sufjan Stevens,1,1,1,1,1,0,0,1,1,0
440,Great Lake Swimmers,0,0,0,0,1,0,0,0,0,0
441,Saint Etienne,0,1,1,1,1,1,0,1,0,0
442,of Montreal,1,1,1,1,1,0,0,0,0,0
443,Neil Young,1,0,0,0,0,0,1,0,0,1
444,Einstürzende Neubauten,0,0,1,0,0,0,0,0,0,0
445,Explosions in the Sky,0,0,1,0,1,0,0,0,0,0
446,Teen Angels,0,1,0,0,0,0,0,0,0,0
447,Ivi Adamou,0,1,0,0,0,0,0,0,0,0
448,Helena Paparizou,0,1,0,0,0,1,0,1,0,0
449,Kalomoira,0,1,0,0,0,1,0,1,0,0
450,Άννα Βισση,1,1,0,0,0,1,0,0,0,0
451,Laura Pausini,0,1,0,0,0,1,0,0,0,0
452,Nikolas Metaxas,1,0,1,0,0,0,0,0,0,0
453,Inna,0,1,0,1,0,1,0,1,0,0
454,RBD,0,1,1,0,0,0,0,0,0,0
455,Eleftheria Eleftheriou,0,1,0,0,1,1,0,0,0,0
456,Antonis Remos,0,1,0,0,0,0,0,0,0,0
457,Giorgos Papadopoulos,0,0,1,0,0,0,0,0,0,0
458,Hadise,0,1,0,0,0,1,0,1,0,0
459,Jessy Matador,0,1,0,0,0,0,0,1,0,0
460,Paolo Meneguzzi,0,1,0,0,0,0,0,0,0,0
461,Floricienta,0,1,0,0,0,0,0,0,0,0
462,Erreway,0,1,0,0,0,0,0,0,0,0
463,Dima Bilan,0,1,0,1,0,0,0,1,0,0
464,Stromae,0,1,0,1,0,0,0,1,0,0
465,Tamta,0,1,0,0,0,1,0,0,0,0
466,Evridiki,1,1,1,0,0,1,0,1,0,0
467,Mando,1,1,1,0,0,0,0,0,0,0
468,Eric Saade,0,1,0,0,0,0,0,0,0,0
469,Safura,0,1,0,0,0,0,0,0,0,0
470,Darin,0,1,0,1,0,0,0,1,0,0
471,Despoina Olympiou,1,0,1,0,0,0,0,0,0,0
472,Yohanna,0,1,0,0,0,0,0,0,0,0
473,Kostas Martakis,0,1,0,0,0,0,0,0,0,0
474,Soulthrow,1,0,1,0,1,0,0,0,0,0
