,Artista,rock,pop,alternative,eletronic,indie,female vocalist,80s,dance,alternative rock,classic rock
163,אביתר בנאי,0,0,0,0,0,0,0,0,0,0
164,Mew,1,0,1,0,1,0,0,0,1,0
165,Stereophonics,1,0,1,0,1,0,0,0,1,0
166,Garbage,1,1,1,1,1,1,1,1,1,0
167,Placebo,1,1,1,1,1,0,0,0,1,0
168,Infected Mushroom,0,0,0,1,0,0,0,0,0,0
169,Delerium,0,0,1,1,0,0,0,1,0,0
170,Scorpions,1,0,0,0,0,0,1,0,0,1
171,Rock Star Supernova,0,0,0,0,0,0,0,0,0,0
172,Dolores O'Riordan,1,0,1,0,0,1,0,0,1,0
173,Tommy Lee,1,0,1,0,0,0,0,0,1,0
174,Roxette,1,1,0,0,0,1,1,0,0,1
175,Paradise Lost,0,0,0,0,0,0,0,0,0,0
176,Keane,1,1,1,0,1,0,0,1,1,0
177,Jamiroquai,0,1,0,1,0,0,0,1,0,0
178,James Blunt,1,1,1,0,1,0,0,0,0,0
179,Reamonn,1,0,0,0,0,0,0,0,1,0
180,Blackfield,1,0,1,0,0,0,0,0,1,0
181,a-ha,1,1,1,1,0,0,1,1,0,0
182,Opeth,0,0,1,0,0,0,0,0,0,0
183,Poets of the Fall,1,0,1,0,1,0,0,0,1,0
184,Muse,1,1,1,1,1,0,0,1,1,0
185,OneRepublic,1,1,1,0,1,0,0,0,1,0
186,Elton John,1,1,0,0,0,0,1,1,0,1
187,Tears for Fears,1,1,1,1,0,0,1,1,1,1
188,The Tiger Lillies,0,0,0,0,0,0,0,0,0,0
189,Bright Eyes,1,0,1,0,1,0,0,0,0,0
190,Beirut,1,0,1,0,1,0,0,0,0,0
191,Tom Waits,1,0,1,0,0,0,1,0,1,0
192,System of a Down,1,0,1,0,0,0,0,0,1,0
193,Arcade Fire,1,0,1,0,1,0,0,0,1,0
194,Gogol Bordello,0,0,1,0,0,0,0,0,0,0
195,Ленинград,0,0,0,0,0,0,0,0,0,0
196,CAKE,1,1,1,0,1,0,0,0,1,0
197,Blur,1,1,1,0,1,0,0,0,1,1
198,Damien Rice,1,0,1,0,1,0,0,0,0,0
199,Andrew Bird,0,1,1,0,1,0,0,0,0,0
200,Beck,1,1,1,1,1,0,0,1,1,0
201,Arctic Monkeys,1,0,1,0,1,0,0,1,1,0
202,Babyshambles,1,0,1,0,1,0,0,0,1,0
203,My Chemical Romance,1,1,1,0,1,0,0,0,1,0
204,Bloc Party,1,0,1,0,1,0,0,1,1,0
205,The Decemberists,1,0,1,0,1,0,0,0,0,0
206,Bob Dylan,1,0,1,0,1,0,1,0,0,1
207,Jacques Brel,0,0,0,0,0,0,0,0,0,0
208,DeVotchKa,1,0,1,0,1,0,0,0,0,0
209,Jeff Buckley,1,1,1,0,1,0,0,0,1,1
210,Sparklehorse,1,0,1,0,1,0,0,0,0,0
211,Death Cab for Cutie,1,1,1,1,1,0,1,0,1,0
212,Man Man,0,0,0,0,0,0,0,0,0,0
213,M. Ward,0,0,1,0,1,0,0,0,0,0
214,Red Hot Chili Peppers,1,1,1,0,1,0,1,0,1,1
215,Travis,1,1,1,0,1,0,0,0,1,0
216,Modest Mouse,1,0,1,0,1,0,0,0,1,0
217,Band of Horses,1,1,1,0,1,0,0,0,1,0
218,Yeong-wook Jo,0,0,0,0,0,0,0,0,0,0
219,Interpol,1,0,1,0,1,0,1,0,1,1
220,Queens of the Stone Age,1,0,1,0,1,0,0,0,1,0
221,The Beatles,1,1,1,0,1,0,1,1,1,1
222,Kings of Leon,1,0,1,0,1,0,0,1,1,0
223,The Killers,1,1,1,1,1,0,0,1,1,0
224,Green Day,1,1,1,0,1,0,0,0,1,0
225,Devendra Banhart,0,0,1,0,1,0,0,0,0,0
226,Sunset Rubdown,0,0,0,0,0,0,0,0,0,0
227,Nine Inch Nails,1,0,1,1,0,0,1,0,1,0
228,Nirvana,1,1,1,0,1,0,1,0,1,1
229,Eels,1,0,1,0,1,0,1,0,0,0
230,Clap Your Hands Say Yeah,0,1,1,0,1,0,0,0,0,0
231,Thom Yorke,1,0,1,1,1,0,0,1,1,0
232,Massive Attack,1,0,1,1,1,1,0,1,0,0
233,Keyshia Cole,0,1,0,0,0,1,0,0,0,0
234,Racionais MC's,0,0,0,0,0,0,0,0,0,0
235,Toni Braxton,0,1,0,0,0,1,0,1,0,0
236,Elo da Corrente,0,0,0,0,0,0,0,0,0,0
237,Teta Lando,0,0,0,0,0,0,0,0,0,0
238,Flagelo Urbano,0,0,0,0,0,0,0,0,0,0
239,Bob Marley & The Wailers,0,0,0,0,0,0,0,0,0,1
240,Adriana Calcanhotto,0,1,0,0,0,1,0,0,0,0
241,Maxwell,0,0,0,0,0,0,0,0,0,0
242,Pharoahe Monch,0,0,0,0,0,0,0,0,0,0
243,Common,0,1,0,0,0,0,0,0,0,0
244,Bob Marley,1,0,0,0,0,0,0,0,0,0
245,Whitney Houston,0,1,0,0,0,1,1,1,0,0
246,Tamia,0,0,0,0,0,1,0,0,0,0
247,Bryan Adams,1,1,1,0,0,0,1,0,0,1
248,Lokua Kanza,0,0,0,0,0,0,0,0,0,0
249,Nach,0,0,0,0,0,0,0,0,0,0
250,Kid Abelha,1,1,0,0,0,1,1,0,0,0
251,Mariah Carey,0,1,0,0,0,1,0,1,0,0
252,Tina Turner,1,1,0,0,0,1,1,0,0,1
253,9th Wonder,0,0,0,0,0,0,0,0,0,0
254,Floetry,0,0,0,0,0,1,0,0,0,0
255,Marisa Monte,0,1,0,0,0,1,0,0,0,0
256,Mary J. Blige,0,0,1,0,0,1,0,0,0,0
257,Jill Scott,0,0,0,0,0,0,0,0,0,0
258,Sara Tavares,0,0,0,0,0,1,0,0,0,0
259,Céline Dion,0,1,1,0,0,1,1,1,0,0
260,Erykah Badu,0,0,1,0,0,1,0,0,1,0
261,Nas,0,0,0,0,0,0,0,0,0,0
262,Richard Marx,1,1,0,0,0,0,1,0,0,1
263,Dru Hill,0,0,0,0,0,0,0,0,0,0
264,Maria Bethânia,0,0,0,0,0,1,0,0,0,0
265,Mos Def,0,0,0,0,0,0,0,0,0,0
266,Faith Evans,0,0,0,0,0,1,0,0,0,0
267,Avant,0,0,0,0,0,0,0,0,0,0
268,Bob da Rage Sense,0,0,0,0,0,0,0,0,0,0
269,Angie Stone,0,0,0,0,0,0,0,0,0,0
270,Gang Starr,0,0,0,0,0,0,1,0,0,0
271,Papa Wemba,0,0,0,0,0,0,0,0,0,0
272,2Pac,0,0,0,0,0,0,0,0,0,0
273,Brandy,1,1,0,1,0,1,0,1,0,0
274,Sam the Kid,0,0,0,0,0,0,0,0,0,0
275,Dealema,0,0,0,0,0,0,0,0,0,0
276,Boss AC,0,0,0,0,0,0,0,0,0,0
277,Ana Carolina,0,1,1,0,0,1,0,1,0,0
278,Dilated Peoples,0,0,0,0,0,0,0,0,0,0
279,Janet Jackson,1,1,0,0,0,1,1,1,0,0
280,Peter Tosh,0,0,0,0,0,0,1,0,0,0
281,Monica,0,0,0,0,0,1,0,0,0,0
282,Rihanna,1,1,0,1,0,1,0,1,0,0
283,Britney Spears,1,1,1,1,0,1,0,1,0,0
284,Jordin Sparks,0,1,0,1,0,1,0,1,0,0
285,Kelly Clarkson,1,1,1,1,0,1,0,1,1,0
286,Christina Aguilera,1,1,1,1,1,1,0,1,0,0
287,Ashlee Simpson,1,1,0,1,1,1,0,1,1,0
288,Leona Lewis,0,1,0,0,0,1,0,0,0,0
289,Beyoncé,1,1,0,1,0,1,0,1,0,0
290,Sugababes,0,1,0,1,0,1,0,1,0,0
291,David Cook,1,1,1,0,0,0,0,0,1,0
292,Lily Allen,1,1,1,1,1,1,0,1,0,0
293,Jennifer Lopez,1,1,0,1,0,1,0,1,0,0
294,Katy Perry,1,1,0,1,1,1,0,1,1,0
295,Alicia Keys,1,1,0,0,0,1,0,0,0,0
296,P!nk,1,1,1,0,1,1,0,1,0,0
297,Panic at the Disco,1,1,1,0,0,0,0,0,0,0
298,David Archuleta,0,1,0,1,0,0,0,1,0,0
299,Katharine McPhee,0,1,0,0,0,1,0,1,0,0
300,Black Eyed Peas,1,1,1,1,0,1,0,1,0,0
301,Kate Voegele,1,1,0,0,0,1,0,0,0,0
302,Kat DeLuna,0,1,0,0,0,1,0,1,0,0
303,Danity Kane,0,1,0,0,0,1,0,1,0,0
304,Nelly Furtado,1,1,1,1,0,1,0,1,0,0
305,Natasha Bedingfield,0,1,0,0,0,1,0,1,0,0
306,Cassie,0,1,0,0,0,1,0,1,0,0
307,Allison Iraheta,1,1,0,0,1,1,0,0,0,0
308,Ciara,0,1,0,1,0,1,0,1,0,0
309,Matt Pokora,0,0,0,0,0,0,0,0,0,0
310,Alanis Morissette,1,1,1,0,1,1,0,0,1,1
311,Keri Hilson,0,1,0,0,0,1,0,1,0,0
312,Hilary Duff,1,1,0,1,0,1,0,1,0,0
313,Haley James Scott,0,0,0,0,0,1,0,0,0,0
314,Fergie,0,1,0,0,0,1,0,1,0,0
315,Jonas Brothers,1,1,0,0,0,0,0,0,1,0
316,Ashanti,0,1,0,0,0,1,0,0,0,0
317,The Saturdays,0,1,0,1,0,1,0,1,0,0
318,Cobra Starship,1,1,1,1,1,0,0,1,1,0
319,Ashley Tisdale,1,1,0,0,0,1,0,1,0,0
320,JoJo,0,1,0,0,0,1,0,1,0,0
321,Chris Brown,0,1,0,1,0,1,0,1,0,0
322,David Guetta,0,1,0,1,1,1,0,1,0,0
323,Justin Timberlake,0,1,0,1,0,0,0,1,0,0
324,T.I.,0,0,0,0,0,0,0,1,0,0
325,Kanye West,0,0,1,1,0,0,0,1,1,0
326,Kelly Rowland,0,1,0,1,0,1,0,1,0,0
327,Avril Lavigne,1,1,1,1,1,1,0,1,1,0
328,No Angels,0,1,0,0,0,1,0,0,0,0
329,Sandy,1,1,0,0,0,0,0,0,0,0
330,Vanessa Petruo,0,0,0,0,0,0,0,0,0,0
331,Alexander,0,0,0,0,0,0,0,0,0,0
332,Queensberry,0,1,0,0,0,1,0,0,0,0
333,Fady Maalouf,0,0,0,0,0,0,0,0,0,0
334,Cher,1,1,0,1,0,1,1,1,0,0
335,Barbara Schöneberger,0,0,0,0,0,0,0,0,0,0
336,Colbie Caillat,1,1,1,0,1,1,0,0,1,0
337,Annett Louisan,0,1,0,0,0,1,0,0,0,0
338,Taylor Swift,1,1,0,0,0,1,0,1,0,0
339,Nadja Benaissa,0,0,0,0,0,1,0,0,0,0
340,Lena,0,1,0,0,1,1,0,0,0,0
341,Cassandra Steen,0,1,0,0,0,1,0,0,0,0
342,Wir sind Helden,1,1,0,0,0,0,0,0,0,0
343,The Pussycat Dolls,0,1,0,1,0,1,0,1,0,0
344,Monrose,0,1,0,0,0,1,0,1,0,0
345,Gabrielle,0,1,0,0,0,1,0,1,0,0
346,Cheryl Cole,0,1,0,1,0,1,0,1,0,0
347,Milow,0,0,0,0,0,0,0,0,0,0
348,Sarah Connor,0,1,0,0,0,1,0,1,0,0
349,Jason Mraz,1,1,1,0,1,0,1,1,1,0
350,Brad Paisley,1,0,0,0,1,0,0,0,0,0
351,Silbermond,0,0,0,0,0,0,0,0,0,0
352,Diyana,0,1,0,0,0,1,0,0,0,0
353,Maria Mena,1,1,1,0,0,1,0,0,1,0
354,Shania Twain,1,1,0,0,0,1,0,1,0,0
355,Jennifer Chung,0,0,0,0,0,0,0,0,0,0
356,A Fine Frenzy,0,1,1,0,1,1,0,0,0,0
357,Lucylicious,0,0,0,0,0,0,0,0,0,0
358,Sugarland,1,0,1,0,0,1,0,0,1,0
359,Christina Stürmer,0,0,0,0,0,0,0,0,0,0
360,Jack Johnson,1,1,1,0,1,0,0,0,1,0
361,BIG BANG,0,1,0,0,0,0,0,1,0,0
362,김종국,0,0,0,0,0,0,0,0,0,0
363,2PM,0,1,0,0,0,0,0,0,0,0
364,Katatonia,1,0,0,0,0,0,0,0,0,0
365,Skillet,1,0,1,0,0,0,0,0,1,0
366,モンゴル800,0,0,0,0,0,0,0,0,0,0
367,Jay Park,0,0,0,0,0,0,0,0,0,0
368,宇多田ヒカル,0,1,0,0,0,1,0,1,0,0
369,浜崎あゆみ,0,1,0,1,0,1,0,0,0,0
370,UVERworld,0,0,0,0,0,0,0,0,0,0
371,Linkin Park,1,1,1,1,0,0,0,0,1,0
372,Evanescence,1,1,1,1,0,1,0,0,1,1
373,中島美嘉,0,1,0,0,0,1,0,0,0,0
374,Blackmore's Night,1,0,0,0,0,1,0,0,0,0
375,C.N.BLUE,1,0,0,0,0,0,0,0,0,0
376,BUCK-TICK,0,0,0,0,0,0,0,0,0,0
377,Bad Religion,1,0,1,0,0,0,0,0,0,0
378,Fairuz,0,0,0,0,0,0,0,0,0,0
379,T.M.Revolution,0,0,0,0,0,0,0,0,0,0
380,Cascada,0,1,0,1,0,1,0,1,0,0
381,TRAX,0,0,0,0,0,0,0,0,0,0
382,B2ST,0,0,0,0,0,0,0,0,0,0
383,Enya,0,1,0,1,0,1,1,0,0,0
384,GACKT,0,0,0,0,0,0,0,0,0,0
385,Sinamore,0,0,0,0,0,0,0,0,0,0
386,Remi Bandali,0,0,0,0,0,0,0,0,0,0
387,Super Junior,0,1,0,0,0,0,0,1,0,0
388,山下智久,0,0,0,0,0,0,0,0,0,0
389,NEWS,0,0,0,0,0,0,0,0,0,0
390,L'Arc~en~Ciel,0,0,0,0,0,0,0,0,0,0
391,雅-MIYAVI-,0,0,0,0,0,0,0,0,0,0
392,www.DjFahad.com,0,0,0,0,0,0,0,0,0,0
393,嵐,0,1,0,0,0,0,0,1,0,0
394,2NE1,0,1,0,0,0,0,0,1,0,0
395,RENTRER EN SOI,0,0,0,0,0,0,0,0,0,0
396,3mmey,0,0,0,0,0,0,0,0,0,0
397,The All-American Rejects,1,1,1,1,1,0,0,0,1,0
398,백지영,0,0,0,0,0,0,0,0,0,0
399,The Rasmus,1,1,1,0,0,0,0,0,1,1
400,HYDE,1,0,0,0,0,0,0,0,0,0
401,Akira Yamaoka,0,0,0,1,0,0,0,0,0,0
402,Crossfade,1,0,1,0,0,0,0,0,1,0
403,G-Dragon,0,1,0,0,0,0,0,1,0,0
404,GD&TOP,0,1,0,0,0,0,0,0,0,0
405,Chinese mix,0,0,0,0,0,0,0,0,0,0
406,blink-182,1,1,1,0,0,0,0,0,1,0
407,After School,0,0,0,0,0,0,0,0,0,0
408,Wasted Land,0,0,0,0,0,0,0,0,0,0
409,Laith Al-Deen,0,0,0,0,0,0,0,0,0,0
410,The National,1,0,1,0,1,0,0,0,1,0
411,Cordel do Fogo Encantado,0,0,1,0,1,0,0,0,0,0
412,Sigur Rós,1,0,1,1,1,0,0,0,1,0
413,Tokyo Police Club,1,0,1,0,1,0,0,0,0,0
414,The Kills,1,0,1,1,1,1,0,0,1,0
415,Móveis Coloniais de Acaju,1,0,1,0,1,0,0,0,1,0
416,Mombojó,1,0,1,0,1,0,0,0,1,0
417,Bat for Lashes,1,1,1,1,1,1,0,0,1,0
418,The Strokes,1,0,1,1,1,0,0,1,1,1
419,Yeah Yeah Yeahs,1,0,1,1,1,1,0,1,1,0
420,Rilo Kiley,1,0,1,0,1,1,1,0,0,0
421,The Cribs,0,0,1,0,1,0,0,0,1,0
422,The Libertines,1,0,1,0,1,0,0,0,1,0
423,The Smiths,1,1,1,0,1,0,1,0,1,1
424,Kate Nash,1,1,1,0,1,1,0,0,1,0
425,Wolf Parade,1,0,1,0,1,0,0,0,0,0
426,Klaxons,0,0,1,1,1,0,0,1,1,0
427,Broken Social Scene,1,0,1,1,1,0,0,0,0,0
428,Spoon,1,0,1,0,1,0,1,0,1,0
429,Black Lips,0,0,0,0,0,0,0,0,0,0
430,The Smashing Pumpkins,1,0,1,0,1,0,0,0,1,1
431,She & Him,0,1,1,0,1,1,0,0,0,0
432,O Teatro Mágico,0,0,1,0,0,0,0,0,0,0
433,Los Hermanos,1,0,1,0,1,0,0,0,1,0
434,Animal Collective,0,0,0,1,1,0,0,0,0,0
435,Joy Division,1,0,1,1,1,0,1,0,1,1
436,The Tallest Man on Earth,0,0,1,0,1,0,0,0,0,0
437,The Rakes,0,0,1,0,1,0,0,1,1,0
438,múm,0,0,1,1,1,0,0,0,0,0
439,Bon Iver,0,0,1,0,1,0,0,0,0,0
440,Ra Ra Riot,1,0,1,0,1,0,0,0,0,0
441,Manu Chao,0,0,1,0,0,0,0,0,0,0
442,Art Brut,0,0,0,0,1,0,0,0,0,0
443,Poney Express,0,0,0,0,0,0,0,0,0,0
444,She Wants Revenge,0,0,1,0,1,0,0,0,1,0
445,Local Natives,0,0,0,0,1,0,0,0,0,0
446,Mundo Livre S/A,0,0,0,0,0,0,0,0,0,0
447,Silverchair,1,1,1,0,0,0,0,0,1,0
448,Jónsi,1,0,1,0,1,0,0,0,1,0
449,Backstreet Boys,0,1,0,0,0,0,0,1,0,0
450,Jesse McCartney,0,1,0,1,0,0,0,1,0,0
451,Aaron Carter,0,1,0,0,0,0,0,1,0,0
452,Justin Bieber,0,1,0,1,0,0,0,1,0,0
453,*NSYNC,0,1,0,0,0,0,0,1,0,0
454,Noize MC,0,0,1,0,0,0,0,0,1,0
455,Miley Cyrus,1,1,0,1,0,1,0,1,0,0
456,Blue,1,1,0,0,0,0,0,1,0,0
457,Savage Garden,1,1,1,0,0,0,0,0,0,0
458,3OH!3,1,1,1,1,1,1,0,1,0,0
459,Jessica Simpson,1,1,1,0,0,1,0,1,0,0
460,Ke$ha,0,1,0,1,1,1,0,1,0,0
461,Darren Hayes,1,1,1,1,0,0,0,1,0,0
462,Usher,0,1,0,1,0,0,0,1,0,0
463,Nick Carter,1,1,0,0,0,0,0,0,0,0
464,nevershoutnever!,0,1,1,0,1,0,0,0,0,0
465,Metro Station,0,1,1,1,1,0,0,1,0,0
466,3 Doors Down,1,1,1,0,0,0,0,0,1,0
467,Dream Street,0,0,0,0,0,0,0,0,0,0
468,Craig David,0,1,0,1,0,0,0,1,0,0
469,Eminem,1,1,1,0,0,1,0,0,0,0
470,M. Pokora,0,1,0,0,0,0,0,1,0,0
471,Daniel Merriweather,0,0,0,0,1,0,0,0,0,0
472,ВИА Гра,0,0,0,0,0,0,0,0,0,0
473,Westlife,0,1,0,0,0,0,0,0,0,0
