,user_id,tag1,tag2,tag3,tag4,tag5,artist_id
9993,5,73,24,79,18,81,229
6414,5,95,98,73,24,79,190
10297,5,73,24,79,81,78,230
5972,5,95,99,73,24,79,182
10533,5,79,81,134,33,127,231
10560,5,94,127,364,611,935,232
10563,5,94,73,79,18,25,233
10701,5,73,24,79,81,25,234
10959,5,73,79,81,25,84,235
10981,5,99,24,79,81,84,236
10994,5,73,79,18,81,39,237
8632,5,79,81,84,134,292,219
8493,5,73,24,79,18,81,217
8486,5,94,73,79,81,84,216
8447,5,95,73,24,79,81,215
7339,5,98,73,79,81,78,199
7158,5,73,79,78,72,33,198
7108,5,95,73,79,25,78,197
7467,5,98,79,134,181,182,200
5532,5,73,24,79,18,81,173
7480,5,370,265,8625,0,0,201
7033,5,73,79,81,84,134,196
6990,5,95,73,79,81,84,195
7486,5,95,73,24,79,81,202
7506,5,73,24,79,81,78,203
136,5,95,79,18,81,25,53
7620,5,73,79,81,134,13,204
6985,5,121,0,0,0,0,194
7692,5,73,24,79,18,81,206
7776,5,73,79,81,39,78,207
8024,5,73,79,81,78,195,208
8064,5,73,24,79,81,78,209
8221,5,73,79,81,39,78,210
8306,5,73,79,81,84,134,211
8329,5,73,79,81,25,192,212
8437,5,134,306,321,2239,0,213
8439,5,73,79,81,134,33,214
7672,5,24,79,81,134,33,205
11036,5,73,79,18,81,130,238
8627,5,127,285,11877,0,0,218
12005,6,24,79,130,39,83,283
11199,6,100,101,112,113,114,244
11198,6,120,117,118,119,0,243
11197,6,0,0,0,0,0,242
11171,6,24,130,39,134,352,241
11166,6,304,0,0,0,0,240
11147,6,24,130,134,102,167,239
11718,6,79,130,102,167,625,262
11740,6,625,83,85,2530,6178,263
11746,6,130,625,0,0,0,264
11747,6,24,79,130,25,39,265
11829,6,79,130,78,134,102,266
12001,6,0,0,0,0,0,280
11847,6,352,102,184,103,285,267
2370,6,73,24,25,39,195,77
11874,6,73,24,25,192,352,268
11880,6,352,167,2349,641,371,269
11883,6,130,432,823,693,1447,270
12003,6,0,0,0,0,0,282
11895,6,13,102,625,103,210,271
11909,6,130,167,625,216,231,272
11912,6,167,2785,0,0,0,273
12002,6,0,0,0,0,0,281
11916,6,0,0,0,0,0,274
12043,6,102,2246,0,0,0,284
11917,6,134,625,285,49,526,275
11919,6,25,352,102,103,304,276
11933,6,0,0,0,0,0,277
11934,6,352,13,102,103,304,278
11964,6,73,24,18,130,39,279
11200,6,192,185,735,306,247,245
11228,6,24,130,134,213,285,246
12045,6,73,24,130,25,39,285
11256,6,103,285,228,287,2246,248
11249,6,167,625,306,640,1734,247
12136,6,25,311,265,7252,5104,286
11662,6,73,24,130,25,192,258
11682,6,102,103,0,0,0,259
11684,6,130,195,167,625,238,260
11421,6,24,130,39,134,352,257
12141,6,130,352,102,167,625,287
11404,6,102,0,0,0,0,255
11403,6,0,0,0,0,0,254
11378,6,73,24,79,25,192,253
11405,6,73,24,130,25,127,256
11688,6,24,130,134,49,432,261
11321,6,24,130,25,39,134,251
11271,6,73,134,735,247,824,250
11260,6,24,352,127,102,306,249
11372,6,130,167,216,210,238,252
17528,7,24,18,130,39,195,323
17695,7,73,24,130,39,102,325
2751,7,127,128,73,24,79,89
18502,7,24,18,130,39,102,332
13911,7,127,73,24,18,81,293
16164,7,127,73,24,79,18,306
12149,7,127,128,73,24,18,288
16493,7,24,130,39,102,167,308
18564,7,127,73,24,79,18,333
14596,7,127,24,18,130,39,296
16949,7,0,0,0,0,0,315
16081,7,24,18,39,167,306,304
16536,7,24,130,39,102,167,309
17507,7,24,130,102,167,625,322
17588,7,73,24,79,18,81,324
16076,7,73,24,79,109,1754,303
16811,7,24,130,39,102,167,312
16952,7,127,73,24,79,81,316
14039,7,24,130,195,167,625,294
15623,7,73,24,130,134,352,301
17083,7,24,130,39,134,102,317
17158,7,127,73,24,18,130,318
14677,7,73,24,79,78,306,297
16132,7,24,130,39,167,216,305
18368,7,79,18,39,78,134,331
16730,7,127,24,130,39,195,311
17937,7,24,18,130,39,102,327
15150,7,73,24,18,81,130,300
228,7,127,73,24,79,18,55
18016,7,127,24,18,81,130,328
17877,7,24,130,39,167,625,326
14199,7,127,73,24,18,130,295
17425,7,127,73,24,78,306,321
17329,7,24,130,39,102,167,320
13504,7,128,73,24,79,18,292
17327,7,130,0,0,0,0,319
13244,7,127,73,24,79,18,291
18171,7,24,18,39,134,102,329
16468,7,73,24,130,134,185,307
16829,7,73,24,81,130,296,313
18311,7,39,102,167,306,103,330
14698,7,127,73,24,79,18,298
15771,7,127,73,24,79,81,302
11422,7,24,130,39,134,352,257
12633,7,127,73,24,79,18,289
16843,7,24,18,130,39,134,314
16569,7,127,73,24,79,18,310
14941,7,73,24,18,130,39,299
13155,7,24,18,130,39,134,290
1415,7,127,128,73,24,79,67
19368,8,24,130,30,81,296,346
14200,8,24,130,73,134,127,295
19381,8,24,130,30,0,0,347
19367,8,130,30,134,135,136,345
13505,8,24,130,73,134,79,292
19391,8,24,130,127,131,18,349
19383,8,24,73,30,109,9819,348
15772,8,24,130,73,134,127,302
12634,8,24,130,73,134,127,289
19637,8,24,130,39,352,167,351
19977,8,24,73,134,79,81,366
19976,8,0,0,0,0,0,365
19968,8,130,73,79,78,185,364
19967,8,0,0,0,0,0,363
19931,8,24,130,134,79,81,362
19930,8,0,0,0,0,0,361
19870,8,24,130,73,134,79,359
19624,8,24,130,30,39,102,350
19869,8,24,130,167,0,0,358
19841,8,73,134,81,352,191,356
19781,8,24,73,134,127,79,355
12150,8,24,130,73,127,18,288
19771,8,24,130,30,39,625,354
16731,8,24,130,134,127,39,311
19767,8,134,306,5818,5819,614,353
19639,8,24,130,18,39,195,352
19861,8,30,127,109,2046,0,357
19884,8,24,130,73,39,352,360
2752,8,24,130,73,134,127,89
18981,8,24,130,30,131,399,334
15151,8,24,130,73,134,18,300
18988,8,0,0,0,0,0,336
18989,8,0,0,0,0,0,337
18990,8,24,130,234,2349,7938,338
11423,8,24,130,134,39,352,257
18992,8,7938,12312,0,0,0,339
18993,8,24,130,73,18,25,340
19120,8,24,130,73,134,39,344
1975,8,24,130,73,134,79,71
19048,8,0,0,0,0,0,341
3453,8,24,130,134,81,195,97
17529,8,24,130,131,18,39,323
14699,8,24,130,73,134,127,298
13245,8,24,130,73,134,127,291
14597,8,24,130,127,131,18,296
11322,8,24,130,134,25,39,251
11748,8,24,130,134,127,79,265
19118,8,24,130,134,83,213,343
19049,8,24,130,73,134,79,342
18986,8,24,73,30,823,406,335
20779,9,139,141,541,0,0,382
21024,9,139,137,141,127,541,397
21187,9,18,33,14,13,187,407
20169,9,137,140,24,130,39,374
21009,9,139,364,541,12209,12029,396
20206,9,140,24,18,130,352,375
21183,9,73,139,541,2850,0,406
21032,9,137,0,0,0,0,398
21062,9,137,141,6083,0,0,401
21144,9,73,137,24,79,78,405
21141,9,145,996,164,0,0,404
21066,9,73,24,79,18,81,403
21065,9,137,0,0,0,0,402
21220,9,73,79,78,72,1,408
20050,9,73,139,141,138,1,8
20062,9,145,24,39,167,306,367
20076,9,0,0,0,0,0,368
20077,9,145,24,996,164,9192,369
20085,9,73,138,1,127,191,370
20122,9,73,137,79,78,72,371
20167,9,139,137,0,0,0,372
21033,9,140,24,39,508,541,399
21231,9,145,24,39,102,306,409
21398,9,137,0,0,0,0,414
21242,9,0,0,0,0,0,411
20763,9,73,130,292,853,6900,380
20754,9,137,140,24,130,83,379
20782,9,73,79,352,127,181,383
20828,9,144,134,299,120,2457,384
20834,9,139,140,541,159,1316,385
20836,9,30,24,18,130,39,386
20917,9,137,996,0,0,0,387
20918,9,145,996,164,0,0,388
20929,9,24,18,130,25,14,389
20528,9,73,24,79,18,130,378
21238,9,145,71,147,148,149,410
20977,9,139,140,141,364,231,390
21001,9,137,541,1316,315,5217,394
21243,9,73,24,79,78,72,412
20243,9,139,137,140,184,541,376
21005,9,137,140,1316,2659,2671,395
21393,9,996,164,6085,0,0,413
21039,9,24,39,164,2372,0,400
20248,9,73,137,24,79,18,377
20776,9,73,306,996,164,315,381
20168,9,146,155,156,157,158,373
21399,9,30,28,0,0,0,415
20989,9,137,0,0,0,0,392
20987,9,137,7,190,828,0,391
20990,9,145,24,39,306,210,393
23210,10,432,823,693,4053,0,452
23207,10,81,84,127,292,0,451
3851,10,81,79,78,73,24,154
23041,10,81,79,78,39,195,443
23213,10,79,78,73,24,352,453
23248,10,81,79,78,73,84,454
21758,10,81,79,78,73,18,424
23163,10,81,79,78,84,16,450
21701,10,81,79,78,73,24,423
21942,10,81,79,78,73,18,425
22070,10,81,79,73,130,25,426
21690,10,81,79,78,73,84,422
22091,10,81,79,78,195,84,427
21668,10,81,79,78,73,84,421
21630,10,81,79,78,73,18,420
22108,10,81,79,78,73,195,428
22166,10,81,79,78,73,24,429
21612,10,81,79,73,84,306,419
23122,10,81,79,73,84,187,446
22328,10,81,79,78,165,73,430
21459,10,81,79,78,165,73,418
21455,10,81,79,127,432,823,417
22893,10,81,79,78,73,18,441
23129,10,79,127,13,292,1911,447
22408,10,81,79,73,84,127,431
22415,10,81,79,78,18,39,432
23092,10,81,79,84,134,292,445
7034,10,81,79,165,73,84,196
23056,10,81,79,18,33,14,444
22492,10,81,79,73,18,84,433
22527,10,81,79,78,73,25,434
22556,10,127,181,88,935,483,435
22560,10,81,79,78,73,192,436
22684,10,81,79,24,130,134,437
23154,10,81,84,483,9945,11934,448
22726,10,79,292,432,823,693,438
23162,10,0,0,0,0,0,449
22838,10,81,165,18,84,33,440
21400,10,81,79,78,165,73,416
22743,10,81,79,78,73,84,439
23034,10,81,79,134,292,185,442
8494,10,81,79,78,166,73,217
9759,10,81,79,78,73,39,228
4597,10,81,79,78,73,24,159
9039,10,81,79,78,73,25,225
8025,10,81,79,78,73,195,208
9994,10,81,79,78,73,24,229
8633,10,81,79,84,134,292,219
7340,10,81,79,78,165,73,199
7468,10,79,134,181,182,481,200
24671,11,24,109,170,73,79,472
13506,11,24,167,109,73,79,292
24726,11,0,0,0,0,0,473
24728,11,24,167,18,39,195,474
24629,11,24,109,168,79,18,471
24741,11,24,167,73,79,130,475
24945,11,24,167,39,102,306,476
24958,11,81,1753,12287,0,0,477
24963,11,103,0,0,0,0,478
24971,11,24,134,231,512,1754,479
24995,11,102,0,0,0,0,480
25085,11,167,1495,5818,5819,11956,482
17938,11,24,167,18,130,39,327
25092,11,0,0,0,0,0,483
25096,11,24,167,39,102,625,484
25152,11,24,167,79,18,130,485
1416,11,24,167,109,170,73,67
19392,11,24,167,109,18,130,349
14201,11,24,167,73,18,130,295
16165,11,24,167,73,79,18,306
18172,11,24,167,18,39,134,329
14040,11,24,167,130,195,625,294
10298,11,24,109,171,73,79,230
4330,11,24,167,109,73,79,157
24999,11,24,109,73,79,81,481
24583,11,24,79,81,292,185,470
10702,11,24,170,73,79,81,234
24479,11,24,167,18,39,352,468
12635,11,24,167,109,73,79,289
23266,11,24,109,172,39,352,455
16082,11,24,167,18,39,306,304
23361,11,24,167,109,18,39,456
24570,11,24,109,73,134,839,469
23415,11,24,39,352,306,405,457
23425,11,24,167,109,18,39,458
23525,11,24,167,39,352,127,459
23554,11,79,78,102,103,285,460
23571,11,24,109,172,73,18,461
23869,11,24,109,73,79,134,463
23886,11,24,109,73,79,18,464
23857,11,24,167,73,39,195,462
24102,11,24,167,109,18,81,466
24464,11,24,73,79,18,39,467
12151,11,24,167,109,73,18,288
15152,11,24,167,109,73,18,300
24038,11,24,73,79,130,39,465
19121,11,24,109,73,130,39,344
15624,11,24,167,73,130,134,301
2753,11,24,167,73,79,18,89
17696,11,24,167,109,73,130,325
26607,12,78,73,176,178,180,507
2033,12,79,78,73,24,81,72
6393,12,79,78,73,81,185,189
26641,12,79,78,127,1843,0,508
26646,12,79,78,73,177,1,510
26559,12,1,185,82,14,127,506
26671,12,79,78,73,24,81,511
6814,12,79,78,73,24,81,191
27071,12,73,24,1,72,185,518
26856,12,79,78,73,177,1,512
26923,12,79,78,127,0,0,513
26924,12,73,177,1,2,127,514
26939,12,18,61,190,179,25,515
26961,12,79,73,18,61,189,516
26975,12,79,78,73,81,18,517
27169,12,79,73,177,1,61,519
27204,12,179,30,7,89,127,522
27188,12,24,18,39,187,195,520
27190,12,79,73,81,182,188,521
26556,12,79,78,177,2,738,505
19122,12,73,24,109,39,134,344
18565,12,79,78,73,24,81,333
26644,12,18,61,6,189,195,509
26483,12,79,78,73,24,176,504
26407,12,79,73,24,109,30,502
24103,12,24,81,18,109,39,466
26416,12,1,72,185,5,2,503
15153,12,78,73,24,81,18,300
20529,12,79,78,73,24,18,378
20249,12,79,78,73,24,18,377
25197,12,79,78,73,81,18,486
25413,12,79,73,18,61,190,487
25451,12,79,78,73,1,72,488
25540,12,79,78,73,177,1,489
25592,12,79,78,73,1,72,490
25636,12,79,78,73,176,178,492
25667,12,79,78,73,176,1,493
25713,12,79,73,176,178,180,494
21145,12,79,78,73,24,109,405
25729,12,79,78,183,0,0,495
25621,12,79,73,102,103,306,491
25743,12,79,78,73,177,176,497
10299,12,79,78,73,24,81,230
25821,12,79,78,73,24,81,498
26290,12,79,177,176,1,72,500
26220,12,79,78,73,177,1,499
12152,12,73,24,18,109,39,288
26372,12,79,78,73,81,109,501
21188,12,18,184,187,33,14,407
25732,12,79,78,73,177,1,496
28164,13,24,18,130,39,134,534
17697,13,24,130,39,167,213,325
27954,13,24,213,234,229,210,533
28222,13,24,18,130,39,134,535
28288,13,18,39,228,201,210,536
28379,13,230,210,73,79,81,537
16570,13,24,18,130,39,134,310
23572,13,24,18,130,39,213,461
29152,13,24,18,130,39,206,546
28592,13,18,130,39,234,210,539
18566,13,24,18,130,39,134,333
29111,13,24,39,167,206,200,545
28622,13,24,210,73,79,81,540
16953,13,24,130,134,213,49,316
28752,13,18,39,306,105,12287,541
17159,13,24,18,130,39,134,318
29276,13,24,18,130,39,134,548
27886,13,24,18,130,39,134,532
28766,13,130,73,79,78,72,542
28853,13,24,130,39,167,49,543
28958,13,24,39,134,213,231,544
29232,13,39,234,33,127,102,547
28452,13,24,18,39,134,213,538
27817,13,24,39,167,231,228,531
27383,13,24,18,130,39,167,525
2754,13,24,18,130,39,134,89
14942,13,24,18,130,39,167,299
25822,13,24,130,39,213,49,498
19640,13,24,18,130,39,167,352
5533,13,24,18,134,213,234,173
14700,13,24,18,130,39,134,298
9760,13,39,213,234,210,73,228
15773,13,24,130,39,134,167,302
24104,13,24,18,130,39,167,466
19393,13,24,18,130,39,167,349
1417,13,24,18,130,39,134,67
13507,13,24,18,130,39,134,292
14202,13,24,18,130,39,134,295
19123,13,24,130,39,134,213,344
229,13,24,18,130,39,167,55
15154,13,24,18,130,39,134,300
27215,13,24,130,39,49,234,523
20530,13,24,18,130,134,213,378
27340,13,24,18,39,234,210,524
27528,13,24,18,130,39,206,526
27617,13,24,167,228,102,103,527
27662,13,24,18,130,39,134,528
27780,13,18,39,210,73,79,529
18017,13,24,18,130,39,167,328
27790,13,24,18,130,39,234,530
29420,14,0,0,0,0,0,560
29422,14,0,0,0,0,0,561
29423,14,247,75,88,252,73,562
29539,14,625,695,1550,1553,1549,566
29520,14,712,0,0,0,0,564
29522,14,247,625,829,830,1356,565
29541,14,247,167,625,213,508,567
29515,14,247,88,252,254,73,563
29417,14,249,75,245,253,248,559
29585,14,167,625,829,1356,1074,574
29415,14,249,75,245,248,267,557
29414,14,0,0,0,0,0,556
29359,14,25,247,249,242,252,554
29358,14,245,268,0,0,0,553
29357,14,25,16,249,245,242,552
29356,14,0,0,0,0,0,551
29355,14,25,16,249,245,248,550
29353,14,247,249,245,250,266,549
29551,14,0,0,0,0,0,568
29416,14,0,0,0,0,0,558
29552,14,247,73,625,306,829,569
29413,14,0,0,0,0,0,555
29566,14,184,829,4926,4928,0,571
29558,14,73,192,352,625,735,570
29737,14,0,0,0,0,0,598
29736,14,247,88,252,192,8497,597
29735,14,0,0,0,0,0,596
29734,14,0,0,0,0,0,595
29731,14,24,83,608,12322,0,593
29716,14,33,14,13,191,184,592
29709,14,134,321,512,3048,0,591
29707,14,83,829,108,1356,251,590
29706,14,167,85,0,0,0,589
29703,14,0,0,0,0,0,588
29702,14,0,0,0,0,0,587
29700,14,0,0,0,0,0,586
29680,14,247,253,73,192,134,585
29733,14,247,88,245,252,250,594
29662,14,25,73,192,134,352,583
29654,14,73,192,185,829,4258,582
29648,14,625,83,829,445,830,581
29634,14,25,247,73,134,292,580
29633,14,0,0,0,0,0,579
29567,14,247,73,192,167,625,572
29623,14,247,167,625,184,306,578
29678,14,39,625,85,1076,108,584
29621,14,0,0,0,0,0,577
29610,14,25,247,167,625,735,576
29588,14,25,247,24,130,167,575
29581,14,249,75,182,245,242,573
30688,15,18,213,73,24,79,622
26672,15,18,213,285,73,24,511
30666,15,18,213,79,81,78,621
7507,15,213,285,73,24,79,203
30624,15,25,352,102,83,103,619
30747,15,0,0,0,0,0,623
30545,15,73,24,79,81,78,618
30527,15,79,352,127,13,102,617
7673,15,24,79,81,134,33,205
30507,15,18,33,14,13,187,616
30432,15,73,79,81,25,84,615
30638,15,73,24,79,81,195,620
30748,15,81,292,185,611,935,624
30771,15,18,73,24,79,81,629
30756,15,0,0,0,0,0,626
30759,15,18,24,79,81,130,627
30770,15,0,0,0,0,0,628
30806,15,73,25,192,134,72,630
30846,15,79,33,187,61,30,631
10564,15,18,213,285,73,79,233
30861,15,213,79,81,84,33,632
30308,15,285,73,79,25,78,614
7109,15,73,79,25,78,134,197
3852,15,18,213,285,287,73,154
30918,15,33,83,32,1302,6576,633
4598,15,18,213,285,290,73,159
30750,15,33,191,83,526,32,625
30273,15,73,24,79,81,25,612
30299,15,13,191,83,247,32,613
30153,15,24,81,134,14,127,606
1861,15,24,79,130,25,195,69
30071,15,213,287,73,79,81,604
30121,15,18,73,79,25,78,605
8448,15,213,285,73,24,79,215
29738,15,18,213,285,73,24,599
29969,15,213,73,79,81,84,602
29937,15,73,24,25,39,192,601
8628,15,285,127,11877,0,0,218
30170,15,73,192,195,72,292,607
22167,15,73,24,79,81,25,429
30210,15,24,81,39,84,33,608
30214,15,73,81,192,134,292,609
9279,15,213,285,287,73,24,227
30243,15,24,25,134,33,13,610
8330,15,287,73,79,81,25,212
30270,15,73,24,81,84,134,611
29936,15,18,213,285,90,287,600
8936,15,285,73,79,81,78,222
11830,15,79,130,78,134,102,266
30006,15,18,195,33,14,352,603
31084,16,0,0,0,0,0,649
31083,16,24,292,291,294,307,648
31085,16,79,306,231,297,293,650
31086,16,0,0,0,0,0,651
30981,16,109,0,0,0,0,642
31082,16,24,130,81,199,293,647
31169,16,24,6103,0,0,0,676
31174,16,24,306,231,199,0,677
31009,16,24,79,308,319,1,646
31008,16,167,102,103,291,0,645
31178,16,73,79,81,0,0,678
30983,16,24,130,18,39,199,644
31121,16,0,0,0,0,0,666
30982,16,73,79,185,293,0,643
31168,16,73,79,293,0,0,675
31125,16,24,306,601,0,0,669
31119,16,0,0,0,0,0,664
31120,16,0,0,0,0,0,665
31140,16,320,0,0,0,0,672
31139,16,291,0,0,0,0,671
31141,16,0,0,0,0,0,673
31116,16,0,0,0,0,0,663
31115,16,24,130,167,0,0,662
20837,16,24,130,18,39,625,386
31110,16,24,18,39,103,321,661
31105,16,24,167,18,39,306,660
31102,16,24,308,210,356,5470,659
31101,16,24,308,210,356,5483,658
31136,16,24,301,49,0,0,670
31098,16,24,301,0,0,0,657
31142,16,24,167,18,39,102,674
31097,16,167,102,103,304,291,656
31095,16,24,39,299,321,302,655
31094,16,0,0,0,0,0,654
31093,16,0,0,0,0,0,653
31087,16,24,130,39,0,0,652
30943,16,24,130,308,231,127,641
31123,16,24,73,79,130,39,667
30927,16,24,167,293,0,0,636
30922,16,24,308,319,297,7251,635
30928,16,24,130,167,39,102,637
30935,16,24,130,167,39,308,638
19369,16,24,130,81,296,30,346
4827,16,24,73,18,39,102,161
27887,16,24,79,130,81,18,532
2755,16,24,73,79,130,167,89
30940,16,0,0,0,0,0,639
31124,16,24,73,79,0,0,668
30941,16,24,73,130,299,291,640
30921,16,297,0,0,0,0,634
14701,17,73,24,79,18,81,298
32792,17,642,0,0,0,0,702
32875,17,73,24,79,81,130,704
23573,17,73,24,18,130,39,461
1418,17,73,24,79,18,81,67
13508,17,73,24,79,18,81,292
32793,17,79,18,81,39,195,703
31782,17,73,508,206,405,1753,685
27529,17,24,79,18,81,130,526
32473,17,73,24,18,81,130,701
12636,17,73,24,79,18,130,289
27663,17,24,18,130,39,195,528
28453,17,73,24,79,18,81,538
28959,17,73,24,79,39,134,544
12153,17,73,24,18,130,39,288
29277,17,24,79,18,81,130,548
2756,17,73,24,79,18,130,89
32456,17,167,234,228,640,989,699
32396,17,73,24,79,18,81,697
23887,17,73,24,79,18,81,464
31781,17,0,0,0,0,0,684
31702,17,73,24,79,81,25,683
31682,17,24,18,81,130,611,682
31554,17,73,24,79,18,81,681
31935,17,73,79,78,181,185,687
31428,17,73,24,79,18,130,680
32012,17,73,24,306,109,169,688
31179,17,73,24,79,18,130,679
32017,17,73,24,79,18,81,689
32176,17,24,79,18,81,130,690
32238,17,73,24,79,18,81,691
32327,17,306,206,730,228,640,692
32339,17,73,24,79,130,78,693
32380,17,493,3211,11330,0,0,694
32385,17,0,0,0,0,0,695
15155,17,73,24,18,81,130,300
24105,17,24,18,81,130,39,466
32388,17,73,79,81,130,84,696
25823,17,73,24,79,81,130,498
31792,17,73,24,18,130,39,686
32452,17,4289,0,0,0,0,698
9995,17,73,24,79,18,81,229
32469,17,79,81,78,185,109,700
10300,17,73,24,79,81,78,230
17698,17,73,24,130,39,102,325
526,17,24,79,18,25,39,56
17589,17,73,24,79,18,81,324
21067,17,73,24,79,18,81,403
19124,17,73,24,130,39,134,344
16166,17,73,24,79,18,130,306
33909,18,73,79,81,25,192,718
33880,18,73,25,192,195,387,717
33805,18,73,24,79,81,78,716
33709,18,73,24,79,81,25,715
33648,18,73,25,78,192,292,714
34182,18,73,79,25,78,192,728
33604,18,73,130,25,192,195,712
33599,18,23,73,25,192,134,711
33566,18,73,72,1,352,386,710
33459,18,73,79,81,25,78,709
33435,18,73,24,79,78,127,708
33211,18,73,79,25,192,72,707
33031,18,73,79,25,192,72,706
32998,18,73,192,432,823,3507,705
33646,18,73,192,72,386,1433,713
